Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average duration of 'Accepted + Wait' before transitioning to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',""6 days, 21:16:23.320755"","
"Median duration of 'Accepted + Wait' across all cases,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait'"""", 'end': '', 'aggregation': 'median'}"",,"
"Average duration from 'Accepted + In Progress' to 'Accepted + Wait',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait',""7 days, 23:41:15.359712"","
"Total duration of 'Accepted + Wait' in cases leading to 'Completed + Resolved',The sum of the duration between activity 'Accepted + Wait' and activity 'Completed + Resolved',""16689 days, 1:09:59"","
"Longest duration of 'Accepted + Wait' before any subsequent activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""439 days, 9:36:58"","
Shortest duration of 'Accepted + Wait' before transitioning to 'Accepted + In Progress',The minimum of the duration between activity 'Accepted + Wait' and activity 'Accepted + In Progress',0:00:08,
"Total duration of 'Accepted + Wait' for cases involving 'Completed + In Call',The sum of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',""364 days, 23:28:36"","
"Duration variance of 'Accepted + Wait' across different 'product',""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait'"""", 'end': '', 'aggregation': 'variance', 'group_by': 'product'}"",,"
"Average duration from 'Accepted + Wait' to 'Completed + In Call' compared to 'Accepted + Wait' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',""6 days, 21:16:23.320755"","
"Total duration of 'Accepted + Wait' in cases with 'High' impact,The sum of the duration between activity Accepted + Wait and the end of the case,""783 days, 15:29:41"","
"Average duration of 'Accepted + Wait' before 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + Wait' and activity 'Queued + Awaiting Assignment',""9 days, 21:33:03.553360"","
"Longest and shortest duration of 'Accepted + Wait' in the top 5 most frequent process variants,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait'"""", 'end': '', 'aggregation': 'maximum || minimum'}"",,"
"Average duration of 'Accepted + Wait' in incidents resolved within the same day vs. incidents resolved after more than one day,The average of the duration between activity Accepted + Wait and the end of the case,""19 days, 5:35:40.658296"","
"Average duration of 'Accepted + Wait' in incidents leading to 'Completed + In Call' vs. incidents leading to 'Completed + Closed',The average of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',""6 days, 21:16:23.320755"","
"Average duration of 'Accepted + Wait' in incidents with 'Medium' impact compared to those with 'Low' and 'High' impact,The average of the duration between activity Accepted + Wait and the end of the case,""24 days, 6:46:54.846304"","
"Duration of 'Accepted + Wait' in the shortest and longest incident resolution times within the log,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait'"""", 'end': '', 'aggregation': 'minimum || maximum'}"",,"
"Average duration of 'Accepted + Wait' before transitioning to any 'Completed' status,The average of the duration between activity 'Accepted + Wait' and activity 'Completed + Resolved',""15 days, 16:26:40.938910"","
