Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average duration from 'Accepted + Wait' to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',"6 days, 21:16:23.320755",
Median duration for 'Accepted + Wait' before transitioning to 'Accepted + In Progress',The average of the duration between activity 'Accepted + Wait' and activity 'Accepted + In Progress',"15 days, 16:34:59.729426",
Longest duration of 'Accepted + Wait' across all cases,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x00000158FAB73550> - AppliesTo.PROCESS,"439 days, 9:36:58",
Shortest duration of 'Accepted + Wait' leading to 'Completed + Resolved',The minimum of the duration between activity 'Accepted + Wait' and activity 'Completed + Resolved',0:00:04,
Total duration of 'Accepted + Wait' for cases ending in 'Completed + Closed',The sum of the duration between activity 'Accepted + Wait' and activity 'Completed + Closed',"20975 days, 4:29:07",
Difference in average duration between 'Accepted + Wait' and 'Accepted + Wait - User',The average of the duration between activity 'Accepted + Wait' and activity 'Accepted + Wait - User',"7 days, 21:02:52.762295",
Average duration from 'Accepted + Wait' to the next activity in the most frequent variant,The average of the duration between activity Accepted + Wait and the end of the case,"19 days, 5:35:40.658296",
Total duration of 'Accepted + Wait' in cases with 'High' impact,The sum of the duration between activity Accepted + Wait and the end of the case,"783 days, 15:29:41",
Average duration of 'Accepted + Wait' in cases with 'Medium' impact leading to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',"25 days, 18:39:53.222222",
Minimum duration of 'Accepted + Wait' in cases that transition directly to 'Completed + Resolved',The minimum of the duration between activity 'Accepted + Wait' and activity 'Completed + Resolved',0:00:04,
Maximum duration of 'Accepted + Wait' before transitioning to any 'Completed' status,The maximum of the duration between activity 'Accepted + Wait' and activity 'Completed',,
Standard deviation of duration for 'Accepted + Wait' across all cases,The average of the duration between activity Accepted + Wait and the end of the case,"19 days, 5:35:40.658296",
Average duration of 'Accepted + Wait' during the first quarter of the year,The average of the duration between activity Accepted + Wait and the end of the case,"19 days, 5:35:40.658296",
Total duration of 'Accepted + Wait' for cases involving 'PROD582',The sum of the duration between activity Accepted + Wait and the end of the case,,
Duration of 'Accepted + Wait' in the shortest case of the event log,The minimum of the duration between activity Accepted + Wait and the end of the case,0:00:12,
Duration of 'Accepted + Wait' in the longest case of the event log,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x00000158FAB73550> - AppliesTo.PROCESS,"439 days, 9:36:58",
Average duration from 'Accepted + Wait' to 'Accepted + Assigned' compared to 'Accepted + Wait' to 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + Wait' and activity 'Accepted + Assigned',"10 days, 6:26:02.452991",
Median duration of 'Accepted + Wait' for cases initiated by 'V30' group resources,The average of the duration between activity Accepted + Wait and the end of the case,,
Average duration of 'Accepted + Wait' in cases that did not transition to 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait' and the end of case where activity 'Accepted + Wait - Vendor does not occur,"19 days, 5:35:40.658296",
