Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-AE Assign Reviewers' to 'SW-Reviewer Declined',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',15 days 10:04:55.178571,
Total time from 'SW-Reviewer Selection is due in 1 week' to 'SW-Reviewer Declined',The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Declined',362 days 14:46:55,
Minimum time from 'SW-Reviewer Selection is due in 3 days' to 'SW-Reviewer Declined',The minimum of the duration between activity 'SW-Reviewer Selection is due in 3 days' and activity 'SW-Reviewer Declined',0 days 22:15:28,
Average time between 'SW-Reviewer Declined' and 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers',17 days 02:14:47.600000,
Total resolution time of 'SW-Reviewer Declined',The sum of the duration between activity SW-Reviewer Declined and the end of the case,5614 days 06:52:14,
Minimum resolution time of 'SW-Reviewer Declined',The minimum of the duration between activity SW-Reviewer Declined and the end of the case,30 days 08:57:12,
Average waiting time to the 'SW-Reviewer Declined',The average of the duration between the start of the case and activity 'SW-Reviewer Declined',24 days 05:44:47.275862,
Total waiting time to the 'SW-Reviewer Declined',The sum of the duration between the start of the case and activity 'SW-Reviewer Declined',702 days 22:38:51,
Average time it takes 'SW-Reviewer Declined' after the execution of 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',15 days 10:04:55.178571,
Total time it takes 'SW-Reviewer Declined' after the execution of 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',431 days 18:17:45,
Minimum time it takes 'SW-Reviewer Declined' after the execution of 'SW-AE Assign Reviewers',The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',0 days 00:17:25,
Average time for 'SW-Reviewer Declined' to lead to 'SW-AE Assign Reviewers' again,The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers',17 days 02:14:47.600000,
Total time for 'SW-Reviewer Declined' until 'Reviewer Invitation Reminder 1' is sent,The sum of the duration between activity 'SW-Reviewer Declined' and activity 'Reviewer Invitation Reminder 1',2172 days 09:35:16,
Minimum time for 'SW-Reviewer Declined' until 'Reviewer Invitation Reminder 2' is sent,The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'Reviewer Invitation Reminder 2',4 days 11:54:15,
Average time from 'SW-Reviewer Declined' to 'SW-AE Assign Reviewers' in the context of manuscript review process,The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers',17 days 02:14:47.600000,
Total time from 'SW-Reviewer Declined' to 'SW-Awaiting AE Recommendation',The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting AE Recommendation',1133 days 14:02:19,
Average time from 'SW-Reviewer Declined' to 'SW-Awaiting EIC Decision',The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting EIC Decision',72 days 08:34:03.517241,
Total time from 'SW-Reviewer Declined' to 'SW-EIC Major Revision',The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-EIC Major Revision',1050 days 14:37:58,
Minimum time from 'SW-Reviewer Declined' to 'SW-EIC Reject & Resubmit',"ERROR: computing metric {'begin': ""activity == 'SW-Reviewer Declined'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'minimum'}",,
Average cycle time of 'SW-Reviewer Declined' in the review process of scientific papers,The average of the duration between activity SW-Reviewer Declined and the end of the case,193 days 14:18:21.172414,
