Name;Metric;Value;Agrupation
Average time from SW-Reviewer Agreed to SW-Awaiting EIC Decision;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';71.63 days;
Total time between SW-Reviewer Agreed and SW-Awaiting EIC Decision across all variants containing both activities;The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';3223.18 days;
Minimum time it takes for SW-Awaiting EIC Decision to occur after SW-Reviewer Agreed in the peer review process;The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';41.78 days;
Average duration of SW-Awaiting EIC Decision when preceded by SW-Reviewer Agreed versus when preceded by SW-Awaiting AE Recommendation;The average of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Awaiting EIC Decision';3.75 days;
Time elapsed from SW-Reviewer Agreed to SW-Awaiting EIC Decision in variants that lead to SW-EIC Accept compared to those leading to SW-EIC Reject;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';;
Total waiting time to SW-Awaiting EIC Decision after the last SW-Reviewer Agreed event in each case;The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';3223.18 days;
Average time from SW-AE Assign Reviewers to SW-Awaiting EIC Decision in cases where at least one SW-Reviewer Agreed occurs;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting EIC Decision';74.73 days;
Minimum time between SW-Reviewer Agreed and SW-Awaiting EIC Decision in high-efficiency review variants (e.g., frequency ≥ 3);The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';41.78 days;
Time from the final SW-Reviewer Agreed to SW-Awaiting EIC Decision in multi-round revision cases (e.g., involving RW-Initial Reviewer Selection);The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';76.42 days;
Duration of SW-Awaiting EIC Decision phase in cases that include Immediate Reject Decision from the Checklist versus those that do not;The average of the duration between activity 'Immediate Reject Decision from the Checklist' and activity 'SW-Awaiting EIC Decision';;
Average time it takes SW-Awaiting EIC Decision to be reached after the first occurrence of SW-Reviewer Agreed in complex reviewer assignment scenarios;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';71.63 days;
Total time from Manuscript Export Succeeded to SW-Awaiting EIC Decision in traces containing SW-Reviewer Agreed;The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting EIC Decision';3642.82 days;
Minimum time from Plagiarism Originality Report Completed to SW-Awaiting EIC Decision when SW-Reviewer Agreed is present;The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting EIC Decision';50.10 days;
Time between SW-Reviewer Agreed and SW-Awaiting EIC Decision in variants that include Reviewer Invitation Reminder 1 or 2;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';70.98 days;
Average time from SW-Checklist Completed to SW-Awaiting EIC Decision in cases where SW-Reviewer Agreed occurs within 7 days of reviewer assignment;The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting EIC Decision';81.40 days;
