Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average resolution time of incidents following 'Accepted + Wait - Implementation',The average of the duration between activity Accepted + Wait - Implementation and the end of the case,"17 days, 8:00:03.150121",
Average duration from 'Accepted + Wait - Implementation' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',"13 days, 23:55:55.662531",
Total duration of 'Accepted + Wait - Implementation' across all cases,The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,"7158 days, 16:21:41",
Minimum duration from 'Accepted + Wait - Implementation' to 'Accepted + In Progress',The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + In Progress',0:01:09,
Maximum duration from 'Accepted + Wait - Implementation' to 'Completed + Closed',The maximum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',"470 days, 11:44:00",
Average duration from 'Accepted + Wait - Implementation' to 'Accepted + Wait - User',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - User',"8 days, 11:52:23.026144",
Difference in average duration between 'Accepted + Wait - Implementation' and 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - Vendor',"12 days, 2:40:24.388889",
Average duration from 'Accepted + Wait - Implementation' to 'Accepted + Assigned',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Assigned',"10 days, 13:47:45.270833",
Median duration of 'Accepted + Wait - Implementation' in incidents with high impact,The average of the duration between activity Accepted + Wait - Implementation and the end of the case,"13 days, 22:34:41.428571",
Average duration from 'Accepted + Wait - Implementation' to the next activity in the most frequent variant,The average of the duration between activity Accepted + Wait - Implementation and the end of the case,"17 days, 8:00:03.150121",
Total duration of 'Accepted + Wait - Implementation' in incidents related to 'PROD582',The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,,
Average duration from 'Accepted + Wait - Implementation' to 'Completed + In Call' in incidents from France,The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',,
Difference in average duration from 'Accepted + Wait - Implementation' to 'Completed + Resolved' between incidents from Brazil and USA,The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',,
Total duration of 'Accepted + Wait - Implementation' in incidents with 'Medium' impact,The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,"4068 days, 11:41:32",
Minimum duration from 'Accepted + Wait - Implementation' to 'Completed + Closed' in incidents with 'Low' impact,The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',3:55:45,
Maximum duration from 'Accepted + Wait - Implementation' to 'Accepted + Wait - Customer' across all cases,The maximum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - Customer',"77 days, 2:13:11",
