Name;Metric;Value;Agrupation
Average time from SW-Reviewer Selection is due in 1 week to SW-Reviewer Agreed;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';25.56 days;
Total time between SW-Reviewer Selection is due in 1 week and SW-AE Assign Reviewers;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-AE Assign Reviewers';759.10 days;
Minimum time it takes SW-Reviewer Agreed after the execution of SW-Reviewer Selection is due in 1 week;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';3.88 days;
Total waiting time to the SW-Reviewer Agreed following SW-Reviewer Selection is due in 1 week;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';843.46 days;
Time from SW-Reviewer Selection is due in 1 week to SW-Reviewer Selection is due in 3 days;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is due in 3 days';5.24 days;
Elapsed time between SW-Reviewer Selection is due in 1 week and SW-Reviewer Selection is now due across different process variants;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is now due';9.18 days;
Average time it takes SW-Reviewer Selection is due in 1 week to be followed by any reviewer response activity (e.g., SW-Reviewer Agreed, SW-Reviewer Declined, or SW-Reviewer No Response);The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';25.78 days;
Minimum time from SW-Reviewer Selection is due in 1 week to SW-Reviewer Declined;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Declined';43.22 minutes;
Total time between SW-Reviewer Selection is due in 1 week and SW-Awaiting EIC Decision in variants that include major revision cycles;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Awaiting EIC Decision';708.38 days;
Average time between SW-Reviewer Selection is due in 1 week and the next occurrence of SW-AE Assign Reviewers when initial reviewer assignments fail;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-AE Assign Reviewers';23.70 days;
Time of SW-Reviewer Selection is due in 1 week relative to the preceding SW-Initial Reviewer Selection within each case;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week';2.90 days;
Total resolution time of SW-Reviewer Selection is due in 1 week measured until the first successful SW-Reviewer Agreed;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';843.46 days;
Minimum time it takes the SW-Reviewer Agreed to be done after SW-Reviewer Selection is due in 1 week in high-complexity variants involving multiple editor changes;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';5.89 days;
Average time from SW-Reviewer Selection is due in 1 week to SW-Reviewer Unavailable;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Unavailable';15.66 days;
