Name;Metric;Value;Agrupation
Percentage of 'Accepted + Assigned' within variants that end with 'Completed + Resolved' and 'Completed + Closed';Percentage of 'Accepted + Assigned' out of all 'Completed + Resolved';0.32;
Frequency of 'Accepted + Assigned' compared to the frequency of 'Completed + In Call';Number of 'Accepted + Assigned' activities;3121;
Percentage of cases containing 'Accepted + Assigned' that also contain 'Completed + In Call';Percentage of 'Accepted + Assigned' out of all 'Completed + In Call';0.02;
Frequency of 'Accepted + Assigned' grouped by organization line;Number of 'Accepted + Assigned' activities grouped by the last value of org:group;A10:0;"{""A10"":0,""A15"":0,""A16"":0,""A18"":0,""A2 2nd"":1,""A20 3rd"":0,""A6"":0,""A8 2nd"":0,""B11 3rd"":0,""B13"":1,""B14"":1,""B17"":0,""B2 2nd"":0,""B3"":0,""B5"":3,""B6"":0,""B7"":1,""B8"":0,""B9"":0,""C1"":3,""C2"":0,""C4 3rd"":0,""C7 2nd"":0,""C9"":17,""D1"":36,""D10"":1,""D2"":42,""D3"":41,""D4"":0,""D5"":135,""D6"":32,""D7"":26,""D8"":184,""D9"":0,""E1"":0,""G101 2nd"":2,""G102 2nd"":0,""G104 2nd"":0,""G105 2nd"":20,""G107 3rd"":2,""G108 2nd"":0,""G109 2nd"":0,""G11 2nd"":3,""G110 2nd"":0,""G113 2nd"":7,""G115 3rd"":0,""G116"":0,""G118 2nd"":0,""G119 2nd"":9,""G12 2nd"":2,""G121 2nd"":6,""G123 2nd"":0,""G126 2nd"":0,""G129 3rd"":0,""G13 2nd"":2,""G130 3rd"":5,""G131 2nd"":0,""G133 3rd"":0,""G135 2nd"":0,""G138 2nd"":2,""G140 2nd"":82,""G143 2nd"":0,""G144 3rd"":2,""G146 2nd"":15,""G15 2nd"":1,""G153 2nd"":4,""G156 2nd"":2,""G157 2nd"":5,""G16"":0,""G161 2nd"":0,""G165 2nd"":3,""G166 2nd"":1,""G167 2nd"":2,""G171 2nd"":0,""G173 2nd"":0,""G174 2nd"":2,""G176 2nd"":0,""G179"":29,""G18 3rd"":8,""G181 2nd"":1,""G186 2nd"":10,""G189 2nd"":0,""G19 3rd"":0,""G193 2nd"":0,""G195"":1,""G197 2nd"":0,""G2 3rd"":4,""G20 2nd"":3,""G207 2nd"":1,""G209 2nd"":0,""G21 2nd"":6,""G213 2nd"":8,""G22 2nd"":5,""G225 3rd"":1,""G227"":0,""G230 2nd"":229,""G236 2nd"":6,""G238 2nd"":5,""G253 2nd"":1,""G255 2nd"":14,""G257 3rd"":0,""G26 2nd"":1,""G260 2nd"":0,""G261 3rd"":3,""G263 2nd"":4,""G266 2nd"":15,""G268 3rd"":3,""G27 2nd"":19,""G270 3rd"":0,""G271 2nd"":23,""G276 2nd"":4,""G278 3rd"":3,""G285 2nd"":3,""G288 2nd"":8,""G29 3rd"":1,""G290 3rd"":0,""G291 2nd"":0,""G294 2nd"":0,""G296 2nd"":0,""G297"":3,""G299"":5,""G3 2nd"":2,""G300"":0,""G303 2nd"":0,""G304 2nd"":0,""G305 2nd"":0,""G306 2nd"":0,""G308 2nd"":0,""G31 3rd"":6,""G310"":1,""G311"":10,""G312"":0,""G32 2nd"":0,""G322"":12,""G325 2nd"":0,""G327 2nd"":1,""G328 2nd"":1,""G33"":2,""G331 3rd"":0,""G334 2nd"":0,""G335 2nd"":0,""G338 2nd"":0,""G34 3rd"":9,""G340"":1,""G341 3rd"":0,""G343 2nd"":2,""G345 2nd"":0,""G348 2nd"":0,""G35 2nd"":0,""G352 2nd"":0,""G354 3rd"":0,""G355 2nd"":0,""G356 2nd"":4,""G357 2nd"":0,""G358 2nd"":0,""G359"":23,""G36 3rd"":2,""G364 2nd"":0,""G365"":1,""G367 2nd"":0,""G368"":0,""G370"":10,""G373"":0,""G375"":4,""G376"":0,""G38 2nd"":0,""G40"":27,""G42 3rd"":1,""G43 2nd"":0,""G44 2nd"":0,""G45 2nd"":6,""G46 2nd"":4,""G47 2nd"":0,""G48 2nd"":11,""G49"":0,""G50 2nd"":2,""G51 2nd"":2,""G52 3rd"":2,""G53 2nd"":2,""G55 2nd"":5,""G57 2nd"":6,""G59 2nd"":10,""G6 3rd"":4,""G60 2nd"":0,""G61 3rd"":0,""G63 2nd"":5,""G64 2nd"":0,""G65 2nd"":0,""G66 2nd"":0,""G67 2nd"":1,""G68 2nd"":0,""G69 2nd"":0,""G7 3rd"":2,""G70 2nd"":0,""G71 2nd"":0,""G72 2nd"":0,""G73"":0,""G76"":0,""G8 2nd"":5,""G80"":0,""G81"":1,""G82"":0,""G83 2nd"":0,""G84 2nd"":6,""G85"":0,""G87 2nd"":14,""G88 2nd"":36,""G89 2nd"":1,""G9 2nd"":1,""G92"":67,""G93 2nd"":18,""G96"":22,""G97"":517,""G98 2nd"":0,""G99 2nd"":0,""J12 2nd"":0,""J2 2nd"":1,""J4 2nd"":1,""J5"":31,""K1 3rd"":0,""L1 2nd"":1,""L16 2nd"":0,""L19 2nd"":0,""L20 2nd"":0,""L23 3rd"":8,""L25 2nd"":0,""L26 3rd"":0,""L28 2nd"":1,""L31 2nd"":1,""L33 2nd"":0,""L34 3rd"":1,""L38 3rd"":2,""L39 3rd"":0,""L40 3rd"":12,""L42 3rd"":0,""L45 3rd"":0,""L50 3rd"":6,""L51 3rd"":1,""L53 2nd"":6,""L57 3rd"":0,""L58 3rd"":0,""L6 2nd"":11,""L60 2nd"":1,""L64 3rd"":3,""M1 2nd"":2,""M10"":0,""M11"":1,""M12"":0,""M13 2nd"":0,""M14"":2,""M15 2nd"":0,""M16 2nd"":0,""M16 3rd"":9,""M17"":1,""M20 2nd"":7,""M21 2nd"":3,""M21 3rd"":0,""M22 2nd"":1,""M23"":3,""M24 2nd"":3,""M25"":1,""M26"":1,""M27"":2,""M28 2nd"":1,""M3 2nd"":6,""M4"":1,""M5 2nd"":2,""M6"":0,""M7 2nd"":6,""M8"":17,""M9"":0,""N10 2nd"":0,""N11 2nd"":1,""N12 2nd"":0,""N13"":0,""N14 2nd"":2,""N15 2nd"":27,""N16 2nd"":0,""N17 2nd"":0,""N19 2nd"":24,""N2 2nd"":0,""N20"":8,""N20 2nd"":0,""N21"":1,""N23 2nd"":1,""N25 2nd"":0,""N26 2nd"":0,""N27 2nd"":0,""N27 3rd"":1,""N29 2nd"":0,""N3"":0,""N3 2nd"":4,""N30 2nd"":0,""N31 3rd"":0,""N32"":1,""N33"":0,""N34"":3,""N35 2nd"":0,""N36"":9,""N37"":3,""N38"":2,""N39"":3,""N40"":1,""N41"":5,""N42"":53,""N43"":8,""N44"":5,""N45"":1,""N46"":4,""N47"":0,""N49"":6,""N5 2nd"":1,""N51"":0,""N52 2nd"":0,""N53"":0,""N55 3rd"":0,""N6"":0,""N6 2nd"":1,""N7 2nd"":2,""N8 2nd"":0,""O1"":0,""O2"":0,""P1"":0,""P2"":4,""P3"":0,""R2"":0,""R3 2nd"":6,""R4 2nd"":2,""R5"":4,""R6 2nd"":10,""R7"":5,""S1 2nd"":4,""S10"":0,""S11"":2,""S13 2nd"":3,""S13 3rd"":1,""S14"":4,""S15"":0,""S16"":1,""S17 3rd"":0,""S19"":0,""S19 2nd"":2,""S2 2nd"":20,""S20"":0,""S20 2nd"":0,""S21 2nd"":0,""S22 2nd"":0,""S23 2nd"":0,""S24"":8,""S26"":0,""S27"":0,""S29 2nd"":2,""S3 2nd"":7,""S30 2nd"":2,""S31"":6,""S31 2nd"":0,""S33 2nd"":1,""S35 2nd"":2,""S36"":2,""S37"":0,""S39"":0,""S4"":0,""S4 2nd"":4,""S40"":0,""S41"":0,""S42"":13,""S43"":134,""S44"":1,""S45"":0,""S45 2nd"":0,""S46"":1,""S48"":0,""S49"":44,""S51 2nd"":0,""S52 2nd"":0,""S53"":0,""S55"":13,""S56"":51,""S58"":7,""S59"":7,""S6"":11,""S62"":0,""S63"":2,""S8"":6,""S9 2nd"":4,""T1"":0,""T10"":0,""T10 2nd"":0,""T12"":0,""T13 2nd"":2,""T14"":0,""T14 2nd"":0,""T15 2nd"":0,""T16"":4,""T16 2nd"":0,""T17"":0,""T18"":1,""T2 2nd"":0,""T3 2nd"":1,""T4 2nd"":0,""T5"":0,""T6"":0,""T6 2nd"":0,""T7"":1,""T8 2nd"":0,""T9"":0,""U2 2nd"":0,""U3"":5,""U4"":4,""U5 2nd"":1,""U6"":5,""U6 2nd"":1,""V1"":3,""V1 2nd"":2,""V10 3rd"":2,""V11 3rd"":1,""V12 3rd"":0,""V13 2nd"":5,""V13 2nd 3rd"":5,""V14 3rd"":4,""V15 3rd"":0,""V16 3rd"":8,""V17 3rd"":24,""V18 3rd"":0,""V19 2nd"":0,""V20"":1,""V20 2nd"":0,""V21 2nd"":1,""V22 2nd"":0,""V23 2nd"":0,""V26"":168,""V26 2nd"":0,""V27"":7,""V27 2nd"":1,""V29 2nd"":0,""V3"":1,""V30"":5,""V31 2nd"":0,""V32 2nd"":0,""V34 2nd"":0,""V35 2nd"":0,""V35 3rd"":0,""V36 3rd"":0,""V37 2nd"":52,""V39 2nd"":2,""V4 2nd"":0,""V43 2nd"":0,""V44 3rd"":1,""V45 2nd"":1,""V46 2nd"":5,""V47"":0,""V48"":4,""V49"":9,""V5 3rd"":3,""V50 2nd"":2,""V51 2nd"":0,""V54 3rd"":0,""V56 2nd"":3,""V57"":19,""V57 2nd"":2,""V59 2nd"":0,""V7"":0,""V8"":0,""W10"":12,""W11 2nd"":0,""W12 2nd"":4,""W14 2nd"":1,""W14 3rd"":0,""W15 2nd"":0,""W15 3rd"":1,""W16 3rd"":0,""W3"":6,""W4"":3,""W6 2nd"":0,""W7"":0,""W8 2nd"":0,""W9 2nd"":0}"
Percentage of 'Accepted + Assigned' that appear more than once in the same case;the average of the function base > 1 where base is the number of times `ACTIVITY` == 'Accepted + Assigned';0.09;
Frequency of 'Accepted + Assigned' occurring before any 'Accepted + Wait - User', 'Accepted + Wait - Implementation', 'Accepted + Wait - Vendor', or 'Accepted + Wait - Customer';Number of 'Accepted + Assigned' activities for cases where activity 'Accepted + Wait - User' occurs;2045;
Percentage of 'Accepted + Assigned' in variants whose total performance duration is above the median variant performance;Percentage of 'Accepted + Assigned' out of all cases;0.24;
Frequency of 'Accepted + Assigned' performed by resources who also perform 'Completed + In Call';Number of 'Accepted + Assigned' activities for cases where activity 'Completed + In Call' occurs;62;
Percentage of 'Accepted + Assigned' that are immediately preceded by 'Queued + Awaiting Assignment' and followed by 'Accepted + In Progress';Percentage of 'Accepted + Assigned' out of all 'Queued + Awaiting Assignment';0.38;
Percentage of 'Accepted + Assigned' relative to the total number of 'Accepted + In Progress' executions;Percentage of 'Accepted + Assigned' out of all 'Accepted + In Progress';0.24;
