Name;Metric;Value;Agrupation
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed';The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed';13.34 days;
Total time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed';The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed';520.43 days;
Minimum time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed';The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed';10.03 minutes;
Average time between 'Reviewer Invitation Reminder 1' and 'SW-AE Assign Reviewers';The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers';19.70 days;
Total time between 'Reviewer Invitation Reminder 1' and 'SW-AE Assign Reviewers';The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers';492.57 days;
Minimum time between 'Reviewer Invitation Reminder 1' and 'SW-AE Assign Reviewers';The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers';51.20 minutes;
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Declined';The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined';18.38 days;
Total time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Declined';The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined';367.64 days;
Minimum time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Declined';The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined';3.85 minutes;
Average time for 'Reviewer Invitation Reminder 1' to lead to any subsequent activity;The average of the duration between activity Reviewer Invitation Reminder 1 and the end of the case;153.46 days;
Total time for 'Reviewer Invitation Reminder 1' to lead to any subsequent activity;The sum of the duration between activity Reviewer Invitation Reminder 1 and the end of the case;7212.70 days;
Minimum time for 'Reviewer Invitation Reminder 1' to lead to any subsequent activity;The minimum of the duration between activity Reviewer Invitation Reminder 1 and the end of the case;34.96 days;
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Awaiting EIC Decision' in the context of the review process;The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Awaiting EIC Decision';70.80 days;
Total time from 'Reviewer Invitation Reminder 1' to 'SW-Awaiting EIC Decision' in the context of the review process;The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Awaiting EIC Decision';2831.89 days;
Minimum time from 'Reviewer Invitation Reminder 1' to 'SW-Awaiting EIC Decision' in the context of the review process;The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Awaiting EIC Decision';38.53 days;
Average time from 'Reviewer Invitation Reminder 1' to 'SW-EIC Major Revision' considering the impact on the review process;The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-EIC Major Revision';91.65 days;
Total time from 'Reviewer Invitation Reminder 1' to 'SW-EIC Major Revision' considering the impact on the review process;The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-EIC Major Revision';1008.13 days;
Minimum time from 'Reviewer Invitation Reminder 1' to 'SW-EIC Major Revision' considering the impact on the review process;The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-EIC Major Revision';50.02 days;
Cycle time of 'Reviewer Invitation Reminder 1' in the manuscript review process;The sum of the duration between activity Reviewer Invitation Reminder 1 and the end of the case;7212.70 days;
Time from 'Reviewer Invitation Reminder 1' to 'Reviewer Invitation Reminder 2' to understand follow-up efficiency;The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'Reviewer Invitation Reminder 2';1451.85 days;
