Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Accepted + In Progress\ leading to \Completed + Resolved\,Frequency of activity 'Accepted + In Progress' for cases where activity 'Completed + Resolved' occurs,5645,
Percentage of \Accepted + In Progress\ followed by \Queued + Awaiting Assignment\,Percentage of 'Accepted + In Progress' out of all 'Queued + Awaiting Assignment',1.0,
Number of \Accepted + In Progress\ activities per case,Number of 'Accepted + In Progress' activities,22946,
Percentage of \Accepted + In Progress\ out of all \Completed + Closed\ activities,Percentage of 'Accepted + In Progress' out of all 'Completed + Closed',1.0,
Frequency of \Accepted + In Progress\ in relation to \Accepted + Wait - User\,Frequency of activity 'Accepted + In Progress' for cases where activity 'Accepted + Wait - User' occurs,2486,
Percentage of \Accepted + In Progress\ activities that lead to a change in \product\,"ERROR: computing metric {'count': ""activity == 'Accepted + In Progress'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'product != alfanumeric_metric_value'}",,
Number of times \Accepted + In Progress\ is the first activity in a case,Number of 'Accepted + In Progress' activities for cases where activity 'Accepted + In Progress' occurs,22946,
Frequency of \Accepted + In Progress\ followed by \Completed + In Call\,Frequency of activity 'Accepted + In Progress' for cases where activity 'Completed + In Call' occurs,2018,
Number of \Accepted + In Progress\ activities made per year,"ERROR: computing metric {'count': ""activity == 'Accepted + In Progress'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of cases starting with \Accepted + In Progress\ that are resolved within the same day,Percentage of 'Accepted + In Progress' out of all cases,1.0,
Number of \Accepted + In Progress\ in relation to \Completed + Cancelled\,Number of 'Accepted + In Progress' activities for cases where activity 'Completed + Cancelled' occurs,3,
Percentage of \Accepted + In Progress\ in cases with \High\ impact,Percentage of 'Accepted + In Progress' out of all cases,1.0,
Frequency of \Accepted + In Progress\ as a standalone activity in a case,the sum of the function base == 1 where base is the number of times `ACTIVITY` == 'Accepted + In Progress',3059,
Percentage of \Accepted + In Progress\ done after \Queued + Awaiting Assignment\,Percentage of 'Accepted + In Progress' out of all 'Queued + Awaiting Assignment',1.0,
Average number of \Accepted + In Progress\ activities in cases with more than 5 activities,the average of the number of times `ACTIVITY` == 'Accepted + In Progress',3.04,
Percentage of \Accepted + In Progress\ leading to a change in \org:resource\,"ERROR: computing metric {'count': ""activity == 'Accepted + In Progress'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'org:resource != alfanumeric_metric_value'}",,
Frequency of \Accepted + In Progress\ in cases involving \PROD582\,Frequency of activity 'Accepted + In Progress',8,
Average number of \Accepted + In Progress\ followed by \Accepted + Assigned\,the average of the number of times `ACTIVITY` == 'Accepted + In Progress' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Accepted + Assigned',6.42,
Percentage of \Accepted + In Progress\ in cases with \Medium\ impact but without \Completed + Closed\,Percentage of 'Accepted + In Progress' out of all cases where 'Completed + Closed' does not happen,1.0,
Average number of \Accepted + In Progress\ activities in a month,"ERROR: computing metric {'count': ""activity == 'Accepted + In Progress'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total \Accepted + In Progress\ done by \Frederic\,Number of 'Accepted + In Progress' activities == 'Frederic' where ma is the last value of org:resource,,
Fraction of \Accepted + In Progress\ that lead to \Accepted + Wait - Implementation\,Percentage of 'Accepted + In Progress' out of all 'Accepted + Wait - Implementation',1.0,
Total \Accepted + In Progress\ performed by \Anne Claire\,Number of 'Accepted + In Progress' activities == 'Anne Claire' where ma is the last value of org:resource,,
Ratio of \Accepted + In Progress\ over \Accepted + Wait - Vendor\,Percentage of 'Accepted + In Progress' out of all 'Accepted + Wait - Vendor',1.0,
Occasions how often \Accepted + In Progress\ is performed before \Accepted + Wait - Customer\,Frequency of activity 'Accepted + In Progress' for cases where activity 'Accepted + Wait - Customer' occurs,86,
