Name;Metric;Value;Agrupation
Frequency of 'SW-Checklist Completed' before 'SW-Awaiting AE Assignment';Frequency of activity 'SW-Checklist Completed' for cases where activity 'SW-Awaiting AE Assignment' occurs;57;
Percentage of manuscripts with 'SW-Checklist Completed' out of all manuscripts processed;Percentage of 'SW-Checklist Completed' out of all cases where '' does not happen;0.88;
Number of 'SW-Checklist Completed' that are followed by 'SW-EIC Reject';Number of 'SW-Checklist Completed' activities for cases where activity 'SW-EIC Reject' occurs;33;
Percentage of 'SW-Checklist Completed' in manuscripts that required 'Plagiarism Originality Report Completed';Percentage of 'SW-Checklist Completed' out of all 'Plagiarism Originality Report Completed';0.91;
Frequency of 'SW-Checklist Completed' in the most common process variant;Frequency of activity 'SW-Checklist Completed' for cases where activity '' does not occur;82;
Percentage of 'SW-Checklist Completed' followed by 'SW-Initial Reviewer Selection';Percentage of 'SW-Checklist Completed' out of all 'SW-Initial Reviewer Selection';0.97;
Number of 'SW-Checklist Completed' per manuscript;Number of 'SW-Checklist Completed' activities grouped by the last value of code;AER0:1;"{""AER0"":1,""CHK4"":1,""DRSW4"":0,""DRW3"":1,""DSW3"":22,""DSW4"":32,""MSC4"":24,""RJR3"":2,""SW1"":1,""SW12"":2,""SYS1"":0,""SYS11"":0,""SYS2"":0,""SYS5"":1}"
Percentage of manuscripts with 'SW-Checklist Completed' that lead to 'SW-Reviewer Agreed';Percentage of 'SW-Checklist Completed' out of all 'SW-Reviewer Agreed';0.96;
Frequency of 'SW-Checklist Completed' in manuscripts that underwent 'Manuscript Export Succeeded';Frequency of activity 'SW-Checklist Completed' for cases where activity 'Manuscript Export Succeeded' occurs;82;
Percentage of 'SW-Checklist Completed' in manuscripts that were accepted ('SW-EIC Accept') vs. those that were rejected ('SW-EIC Reject');Percentage of 'SW-Checklist Completed' out of all 'SW-EIC Accept';1.0;
Number of 'SW-Checklist Completed' followed by any form of revision request ('SW-EIC Major Revision', 'SW-EIC Minor Revision');Number of 'SW-Checklist Completed' activities for cases where activity 'SW-EIC Major Revision' occurs;16;
Percentage of 'SW-Checklist Completed' in manuscripts that exceeded the 'Plagiarism Percent Match Threshold Exceeded';Percentage of 'SW-Checklist Completed' out of all 'Plagiarism Percent Match Threshold Exceeded';0.91;
Frequency of 'SW-Checklist Completed' in relation to 'Original Manuscript Submission Confirmation';Frequency of activity 'SW-Checklist Completed' for cases where activity 'Original Manuscript Submission Confirmation' occurs;82;
Percentage of 'SW-Checklist Completed' before 'Reviewer Invitation Reminder 1';Percentage of 'SW-Checklist Completed' out of all 'Reviewer Invitation Reminder 1';0.87;
Number of 'SW-Checklist Completed' in manuscripts that did not proceed to 'SW-Awaiting EIC Decision';Number of 'SW-Checklist Completed' activities for cases where activity 'SW-Awaiting EIC Decision' does not occur;87;
Percentage of 'SW-Checklist Completed' in relation to all checklist activities ('SW-Checklist Completion is due in three days', 'SW-Checklist Completion now due');Percentage of 'SW-Checklist Completed' out of all 'SW-Checklist Completion is due in three days';0.97;
Frequency of 'SW-Checklist Completed' followed by 'Assign a Different Editor';Frequency of activity 'SW-Checklist Completed' for cases where activity 'Assign a Different Editor' occurs;8;
Percentage of 'SW-Checklist Completed' in manuscripts that required multiple rounds of 'SW-AE Assign Reviewers';Percentage of 'SW-Checklist Completed' out of all 'SW-AE Assign Reviewers';0.96;
