Name;Metric;Value;Agrupation
Average time from First Look Manuscript Submission Confirmation to Awaiting Assignment to Batch;The average of the duration between activity 'First Look Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch';79.52 days;
Average time between Revised Manuscript Submission Confirmation and Awaiting Assignment to Batch;The average of the duration between activity 'Revised Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch';164.27 days;
Average time until Awaiting Assignment to Batch is performed;The average of the duration between the start of the case and activity 'Awaiting Assignment to Batch';256.02 days;
Average time for Awaiting Assignment to Batch;The average of the duration between activity Awaiting Assignment to Batch and the end of the case;5.06 days;
Average time since the Manuscript Export Succeeded and Awaiting Assignment to Batch are performed;The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Awaiting Assignment to Batch';258.74 days;
Average waiting time to the Awaiting Assignment to Batch;The average of the duration between the start of the case and activity 'Awaiting Assignment to Batch';256.02 days;
Average time it takes Awaiting Assignment to Batch after the execution of First Look Manuscript Submission Confirmation;The average of the duration between activity 'First Look Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch';79.52 days;
Average time it takes the Awaiting Assignment to Batch to be done;The average of the duration between activity Awaiting Assignment to Batch and the end of the case;5.06 days;
Total time from First Look Manuscript Submission Confirmation to Awaiting Assignment to Batch;The sum of the duration between activity 'First Look Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch';1908.57 days;
Total time between Revised Manuscript Submission Confirmation and Awaiting Assignment to Batch;The sum of the duration between activity 'Revised Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch';3449.65 days;
Total time until Awaiting Assignment to Batch is performed;The sum of the duration between the start of the case and activity 'Awaiting Assignment to Batch';6656.41 days;
Total time for Awaiting Assignment to Batch;The sum of the duration between activity Awaiting Assignment to Batch and the end of the case;131.49 days;
Total time since the Manuscript Export Succeeded and Awaiting Assignment to Batch are performed;The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'Awaiting Assignment to Batch';6209.79 days;
Total waiting time to the Awaiting Assignment to Batch;The sum of the duration between the start of the case and activity 'Awaiting Assignment to Batch';6656.41 days;
Total time it takes Awaiting Assignment to Batch after the execution of First Look Manuscript Submission Confirmation;The sum of the duration between activity 'First Look Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch';1908.57 days;
