Name;Metric;Value;Agrupation
Average time between Declaration APPROVED by ADMINISTRATION and Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by PRE_APPROVER';;
Minimum resolution time of Declaration APPROVED by ADMINISTRATION;The minimum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;18.65 minutes;
Time until Declaration APPROVED by ADMINISTRATION;The average of the duration between the start of the case and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Minimum time it takes Declaration APPROVED by ADMINISTRATION after the execution of Declaration SUBMITTED by EMPLOYEE;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';1.00 seconds;
Declaration APPROVED by ADMINISTRATION Cycle Time;The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;9.57 days;
Average time for Declaration APPROVED by ADMINISTRATION in variants where the process finishes with Declaration REJECTED by ADMINISTRATION;The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;9.57 days;
Total time it takes the Declaration APPROVED by ADMINISTRATION to be done;The sum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;76387.38 days;
Percentage of time spent in Declaration APPROVED by ADMINISTRATION;The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;9.57 days;
Minimum time between Declaration SUBMITTED by EMPLOYEE and Declaration APPROVED by ADMINISTRATION;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';1.00 seconds;
Total time until Declaration APPROVED by ADMINISTRATION is performed;The sum of the duration between the start of the case and activity 'Declaration APPROVED by ADMINISTRATION';20712.48 days;
Minimum time until Declaration APPROVED by ADMINISTRATION is performed;The minimum of the duration between the start of the case and activity 'Declaration APPROVED by ADMINISTRATION';1.00 seconds;
Average time for Declaration APPROVED by ADMINISTRATION in variants where Declaration REJECTED by PRE_APPROVER does not occur;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER does not occur;9.57 days;
Average time since the Declaration SUBMITTED by EMPLOYEE and Declaration APPROVED by ADMINISTRATION are performed;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Average waiting time to the Declaration APPROVED by ADMINISTRATION;The average of the duration between the start of the case and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Total time it takes Declaration APPROVED by ADMINISTRATION after the execution of Declaration SUBMITTED by EMPLOYEE;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';20712.48 days;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by ADMINISTRATION in variants where Declaration REJECTED by PRE_APPROVER does not occur;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by ADMINISTRATION in variants where Declaration REJECTED by PRE_APPROVER occurs;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';216.90 days;
Average time for Declaration APPROVED by ADMINISTRATION compared to average time for Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;9.57 days;
Average time it takes the Declaration APPROVED by ADMINISTRATION to be done;The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;9.57 days;
Total time between Declaration APPROVED by ADMINISTRATION and Declaration FINAL_APPROVED by SUPERVISOR;The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';25151.61 days;
Average time for Declaration APPROVED by ADMINISTRATION in variants where the process finishes with Declaration SAVED by EMPLOYEE;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and the end of case where activity 'Declaration SAVED by EMPLOYEE occurs;;
Minimum time since the Declaration SUBMITTED by EMPLOYEE and Declaration APPROVED by ADMINISTRATION are performed;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';1.00 seconds;
Total waiting time to the Declaration APPROVED by ADMINISTRATION;The sum of the duration between the start of the case and activity 'Declaration APPROVED by ADMINISTRATION';20712.48 days;
Time to Declaration APPROVED by ADMINISTRATION since the Declaration SUBMITTED by EMPLOYEE;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Average time for Declaration APPROVED by ADMINISTRATION compared to average time for Declaration REJECTED by ADMINISTRATION;The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;9.57 days;
Minimum time to Declaration APPROVED by ADMINISTRATION grouped by org:resource;The minimum of the duration between the start of the case and activity 'Declaration APPROVED by ADMINISTRATION';STAFF MEMBER:1.00 seconds;"{""STAFF MEMBER"":1000,""SYSTEM"":1000}"
Average time it takes Declaration APPROVED by ADMINISTRATION after the execution of Declaration SUBMITTED by EMPLOYEE;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Average time between Declaration REJECTED by PRE_APPROVER and the next Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION';216.90 days;
Total resolution time of Declaration APPROVED by ADMINISTRATION;The sum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;76387.38 days;
Total time since the Declaration SUBMITTED by EMPLOYEE and Declaration APPROVED by ADMINISTRATION are performed;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';20712.48 days;
Minimum time it takes the Declaration APPROVED by ADMINISTRATION to be done;The minimum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;18.65 minutes;
Time of Declaration APPROVED by ADMINISTRATION;The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;9.57 days;
Average time for Declaration APPROVED by ADMINISTRATION compared to average time for Declaration REJECTED by PRE_APPROVER;The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;9.57 days;
Average time for Declaration APPROVED by ADMINISTRATION in variants where Declaration REJECTED by PRE_APPROVER occurs;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER occurs;5.81 days;
