Name;Metric;Value;Agrupation
Average time from SW-Reviewer Selection is due in 1 week to SW-Reviewer Agreed;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';25.56 days;
Total time between SW-Reviewer Selection is due in 1 week and SW-AE Assign Reviewers;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-AE Assign Reviewers';759.10 days;
Minimum time it takes SW-Reviewer Agreed after the execution of SW-Reviewer Selection is due in 1 week;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';3.88 days;
Average time until SW-Reviewer Agreed is performed following SW-Reviewer Selection is due in 1 week;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';25.56 days;
Total resolution time of SW-Reviewer Selection is due in 1 week within variants that lead to SW-EIC Major Revision;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-EIC Major Revision';848.71 days;
Time from SW-Reviewer Selection is due in 1 week to SW-Reviewer Selection is due in 3 days;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is due in 3 days';125.65 days;
Minimum time between SW-Reviewer Selection is due in 1 week and SW-Reviewer Declined;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Declined';43.22 minutes;
Total time it takes SW-Reviewer Agreed to be done after SW-Reviewer Selection is due in 1 week in variants ending with RW-EIC Accept;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';370.73 days;
Elapsed time between SW-Reviewer Selection is due in 1 week and SW-Reviewer Unavailable;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Unavailable';281.84 days;
Time until SW-Reviewer No Response following SW-Reviewer Selection is due in 1 week;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer No Response';260.74 days;
Average waiting time to the SW-Reviewer Agreed after SW-Reviewer Selection is due in 1 week;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';25.56 days;
Total time from SW-Reviewer Selection is due in 1 week to SW-Awaiting EIC Decision in high-performance variants;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Awaiting EIC Decision';2657.81 days;
Minimum time it takes SW-Reviewer Selection is due in 3 days after the execution of SW-Reviewer Selection is due in 1 week;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is due in 3 days';3.84 days;
Time of SW-Reviewer Selection is due in 1 week in variants that include multiple reviewer assignment attempts;The sum of the duration between activity SW-Reviewer Selection is due in 1 week and the end of the case;5918.99 days;
Average time for SW-Reviewer Selection is due in 1 week grouped by case:concept:name;"ERROR: computing metric {'begin': activity == 'SW-Reviewer Selection is due in 1 week'"", 'end': '', 'aggregation': 'average', 'group_by': 'concept:name'}""";;
