Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Accepted + Assigned' to 'Completed + In Call',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + In Call',0 days 00:00:30,
Average resolution time of 'Accepted + Assigned',The average of the duration between activity Accepted + Assigned and the end of the case,19 days 02:30:18.738108,
Total time from 'Accepted + Assigned' to 'Completed + Resolved',The sum of the duration between activity 'Accepted + Assigned' and activity 'Completed + Resolved',26774 days 16:00:02,
Total time for 'Accepted + Assigned' to transition to 'Queued + Awaiting Assignment',The sum of the duration between activity 'Accepted + Assigned' and activity 'Queued + Awaiting Assignment',7170 days 01:36:53,
Minimum time from 'Accepted + Assigned' to 'Completed + Closed',The minimum of the duration between activity 'Accepted + Assigned' and activity 'Completed + Closed',0 days 00:00:38,
Average time it takes 'Accepted + Assigned' after the execution of 'Accepted + In Progress',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Assigned',6 days 12:39:26.304276,
Total resolution time of cases involving 'Accepted + Assigned',The sum of the duration between activity Accepted + Assigned and the end of the case,34941 days 22:01:12,
Minimum time it takes 'Accepted + Assigned' to be followed by 'Accepted + Wait - User',The minimum of the duration between activity 'Accepted + Assigned' and activity 'Accepted + Wait - User',0 days 00:00:46,
Average time for 'Accepted + Assigned' before transitioning to 'Accepted + Wait - Implementation',The average of the duration between activity 'Accepted + Assigned' and activity 'Accepted + Wait - Implementation',16 days 03:29:10.732877,
Total time it takes 'Accepted + Assigned' to be done before 'Completed + Resolved',The sum of the duration between activity 'Accepted + Assigned' and activity 'Completed + Resolved',26774 days 16:00:02,
Minimum resolution time of 'Accepted + Assigned' in cases with high impact,The minimum of the duration between activity Accepted + Assigned and the end of the case,,
Average time from 'Accepted + Assigned' to 'Accepted + Wait - Vendor' in high impact cases,The average of the duration between activity 'Accepted + Assigned' and activity 'Accepted + Wait - Vendor',,
Total time for 'Accepted + Assigned' in cases ending with 'Completed + In Call',The sum of the duration between activity 'Accepted + Assigned' and activity 'Completed + In Call',0 days 00:00:30,
Minimum time it takes 'Accepted + Assigned' to transition to any subsequent activity,The minimum of the duration between activity Accepted + Assigned and the end of the case,0 days 00:00:30,
Average time for 'Accepted + Assigned' in variants leading to 'Completed + Closed',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Closed',19 days 05:43:47.930825,
