Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Reviewer Invitation Reminder 2' compared to 'Reviewer Invitation Reminder 1',Percentage of 'Reviewer Invitation Reminder 2' out of all 'Reviewer Invitation Reminder 1',0.87,
Percentage of cases that include 'Reviewer Invitation Reminder 2' after 'SW-AE Assign Reviewers',Percentage of 'Reviewer Invitation Reminder 2' out of all 'SW-AE Assign Reviewers',0.78,
Number of 'Reviewer Invitation Reminder 2' that are followed by 'SW-Reviewer Agreed',Number of 'Reviewer Invitation Reminder 2' activities for cases where activity 'SW-Reviewer Agreed' occurs,62,
Percentage of 'Reviewer Invitation Reminder 2' out of all reminder activities,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 2'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'Reviewer Invitation Reminder 1' or activity == 'Reviewer Invitation Reminder 2'""}",,
Frequency of 'Reviewer Invitation Reminder 2' in the most common variant path,Frequency of activity 'Reviewer Invitation Reminder 2' for cases where activity 'most common variant path' occurs,,
Percentage of 'Reviewer Invitation Reminder 2' followed by 'Assign a Different Editor',Percentage of 'Reviewer Invitation Reminder 2' out of all 'Assign a Different Editor',0.64,
Number of 'Reviewer Invitation Reminder 2' in relation to 'SW-Reviewer Declined',Number of 'Reviewer Invitation Reminder 2' activities for cases where activity 'SW-Reviewer Declined' occurs,48,
Frequency of 'Reviewer Invitation Reminder 2' grouped by 'case:concept:name',"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 2'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Percentage of 'Reviewer Invitation Reminder 2' followed by any activity within 7 days,Percentage of 'Reviewer Invitation Reminder 2' out of all cases,0.44,
Number of times 'Reviewer Invitation Reminder 2' is performed per month,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 2'"", 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'Reviewer Invitation Reminder 2' in cases that lead to 'SW-EIC Accept',Percentage of 'Reviewer Invitation Reminder 2' out of all 'SW-EIC Accept',0.0,
Frequency of 'Reviewer Invitation Reminder 2' before 'Reviewer Invitation Reminder 1' (to capture any process anomalies),Frequency of activity 'Reviewer Invitation Reminder 2' for cases where activity 'Reviewer Invitation Reminder 1' occurs,41,
Percentage of 'Reviewer Invitation Reminder 2' in cases that result in 'SW-EIC Major Revision',Percentage of 'Reviewer Invitation Reminder 2' out of all 'SW-EIC Major Revision',0.8,
Number of 'Reviewer Invitation Reminder 2' that precede 'SW-AE Assign Reviewers' reassignments,Number of 'Reviewer Invitation Reminder 2' activities for cases where activity 'SW-AE Assign Reviewers' occurs,61,
