Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Awaiting Checklist Completion' to 'Awaiting Assignment to Batch',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Awaiting Assignment to Batch',286 days 05:34:21.772727,
Average time from 'Original Manuscript Submission Confirmation' to 'Awaiting Assignment to Batch',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch',273 days 18:53:43.913043,
Average time from 'SW-EIC Reject' to 'Awaiting Assignment to Batch',The average of the duration between activity 'SW-EIC Reject' and activity 'Awaiting Assignment to Batch',,
Average time from 'SW-Reviewer Agreed' to 'Awaiting Assignment to Batch',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'Awaiting Assignment to Batch',316 days 04:05:03.823529,
Average time from 'SW-Awaiting EIC Decision' to 'Awaiting Assignment to Batch',The average of the duration between activity 'SW-Awaiting EIC Decision' and activity 'Awaiting Assignment to Batch',208 days 21:52:41.545455,
Average time from 'SW-Checklist Completed' to 'Awaiting Assignment to Batch',The average of the duration between activity 'SW-Checklist Completed' and activity 'Awaiting Assignment to Batch',278 days 21:09:04.863636,
Average time from 'Plagiarism Originality Report Completed' to 'Awaiting Assignment to Batch',The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'Awaiting Assignment to Batch',288 days 18:46:47.181818,
Average time from 'SW-Initial Reviewer Selection' to 'Awaiting Assignment to Batch',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Awaiting Assignment to Batch',278 days 14:00:23.318182,
Average time from 'Manuscript Export Succeeded' to 'Awaiting Assignment to Batch',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Awaiting Assignment to Batch',258 days 17:47:15.416667,
Total time from 'SW-Awaiting Checklist Completion' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Awaiting Assignment to Batch',6297 days 02:35:59,
Total time from 'Original Manuscript Submission Confirmation' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch',6297 days 02:35:50,
Total time from 'SW-EIC Reject' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'SW-EIC Reject' and activity 'Awaiting Assignment to Batch',,
Total time from 'SW-Reviewer Agreed' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'Awaiting Assignment to Batch',5374 days 21:26:05,
Total time from 'SW-Awaiting EIC Decision' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'SW-Awaiting EIC Decision' and activity 'Awaiting Assignment to Batch',4596 days 01:19:14,
Total time from 'SW-Checklist Completed' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'SW-Checklist Completed' and activity 'Awaiting Assignment to Batch',6135 days 09:19:47,
Total time from 'Plagiarism Originality Report Completed' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'Awaiting Assignment to Batch',6353 days 05:09:18,
Total time from 'SW-Initial Reviewer Selection' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Awaiting Assignment to Batch',6128 days 20:08:33,
Total time from 'Manuscript Export Succeeded' to 'Awaiting Assignment to Batch',The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'Awaiting Assignment to Batch',6209 days 18:54:10,
Average time it takes 'Awaiting Assignment to Batch' after the execution of 'SW-Reviewer Agreed',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'Awaiting Assignment to Batch',316 days 04:05:03.823529,
Total time it takes 'Awaiting Assignment to Batch' after the execution of 'SW-Reviewer Agreed',The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'Awaiting Assignment to Batch',5374 days 21:26:05,
Average waiting time to 'Awaiting Assignment to Batch',The average of the duration between the start of the case and activity 'Awaiting Assignment to Batch',256 days 00:22:44.038462,
