Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Awaiting Checklist Completion' to 'SW-Checklist Completion is due in three days',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completion is due in three days',4 days 12:52:37.366667,
Average time from 'SW-Checklist Completion is due in three days' to 'SW-Checklist Completed',The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Checklist Completed',5 days 11:03:15.066667,
Total time elapsed for all instances of 'SW-Checklist Completion is due in three days' across the event log,The sum of the duration between activity SW-Checklist Completion is due in three days and the end of the case,4330 days 21:56:29,
Average time between 'SW-Checklist Completion is due in three days' and 'SW-Awaiting AE Assignment',The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Awaiting AE Assignment',5 days 07:23:28.428571,
Minimum time taken for 'SW-Checklist Completion is due in three days' to be followed by 'Original Manuscript Submission Confirmation',The minimum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'Original Manuscript Submission Confirmation',23 days 07:49:55,
Total resolution time of 'SW-Checklist Completion is due in three days' in the context of manuscript processing cycle,The sum of the duration between activity SW-Checklist Completion is due in three days and the end of the case,4330 days 21:56:29,
Average time to 'SW-Checklist Completion is due in three days' grouped by 'case:concept:name',"ERROR: computing metric {'begin': '', 'end': ""activity == 'SW-Checklist Completion is due in three days'"", 'aggregation': 'average', 'group_by': 'case:concept:name'}",,
Time from 'SW-Checklist Completion is due in three days' to 'SW-EIC Reject' in cases where manuscripts are rejected,The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-EIC Reject',26 days 22:22:43.777778,
Time from 'SW-Checklist Completion is due in three days' to 'SW-EIC Accept' in cases where manuscripts are accepted,The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-EIC Accept',24 days 20:14:57.500000,
Minimum time from 'SW-Checklist Completion is due in three days' to 'Plagiarism Originality Report Completed',The minimum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'Plagiarism Originality Report Completed',0 days 06:38:16,
Average time it takes from 'SW-Checklist Completion is due in three days' to the next activity in the process,The average of the duration between activity SW-Checklist Completion is due in three days and the end of the case,139 days 16:57:57.064516,
Total time from 'SW-Checklist Completion is due in three days' to 'SW-Awaiting EIC Decision',The sum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Awaiting EIC Decision',1732 days 15:41:46,
Average waiting time to 'SW-Checklist Completed' after 'SW-Checklist Completion is due in three days',The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Checklist Completed',5 days 11:03:15.066667,
Average time from 'SW-Checklist Completion is due in three days' to 'Reviewer Invitation Reminder 1' in the review process,The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'Reviewer Invitation Reminder 1',84 days 17:56:23.400000,
Total time for all instances of 'SW-Checklist Completion is due in three days' to lead to 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-AE Assign Reviewers',571 days 15:32:34,
Minimum resolution time of 'SW-Checklist Completion is due in three days' in the context of the entire review cycle,The minimum of the duration between activity SW-Checklist Completion is due in three days and the end of the case,0 days 10:40:16,
Average time from 'SW-Checklist Completion is due in three days' to 'Manuscript Export Succeeded',The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'Manuscript Export Succeeded',237 days 19:19:00.357143,
Total time it takes 'SW-Checklist Completion is due in three days' to be followed by 'SW-Awaiting AE Recommendation',The sum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Awaiting AE Recommendation',558 days 01:47:32,
Minimum time it takes from 'SW-Checklist Completion is due in three days' to 'SW-Reviewer Agreed',The minimum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Reviewer Agreed',5 days 06:34:10,
Average time from 'SW-Checklist Completion is due in three days' to 'SW-EIC Major Revision' in cases ending in major revision requests,The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-EIC Major Revision',112 days 12:21:17,
