Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Completed + Cancelled' compared to 'Completed + Resolved',Percentage of 'Completed + Cancelled' out of all 'Completed + Resolved',0.0,
Percentage of cases involving 'Completed + Cancelled' out of all cases,Percentage of 'Completed + Cancelled' out of all cases,0.0,
Number of 'Completed + Cancelled' activities preceded by 'Accepted + In Progress',Number of 'Completed + Cancelled' activities for cases where activity 'Accepted + In Progress' occurs,1,
Frequency of 'Completed + Cancelled' followed by 'Completed + Closed',Frequency of activity 'Completed + Cancelled' for cases where activity 'Completed + Closed' occurs,0,
Percentage of 'Completed + Cancelled' out of all 'Completed' activities,Percentage of 'Completed + Cancelled' out of all 'Completed',,
Frequency of 'Completed + Cancelled' in relation to 'Accepted + Wait - User',Frequency of activity 'Completed + Cancelled' for cases where activity 'Accepted + Wait - User' occurs,1,
Percentage of 'Completed + Cancelled' activities over time by month,"ERROR: computing metric {'count': ""activity == 'Completed + Cancelled'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'month'}",,
Number of 'Completed + Cancelled' activities that occur after 'Queued + Awaiting Assignment',Number of 'Completed + Cancelled' activities for cases where activity 'Queued + Awaiting Assignment' occurs,0,
Percentage of 'Completed + Cancelled' in cases with 'High' impact versus 'Medium' or 'Low' impact,Percentage of 'Completed + Cancelled' out of all cases,0.0,
Frequency of 'Completed + Cancelled' in variants where 'Accepted + In Progress' occurs more than twice,Frequency of activity 'Completed + Cancelled' for cases where activity 'Accepted + In Progress' occurs,1,
Number of 'Completed + Cancelled' activities in cases with more than 5 activities,Number of 'Completed + Cancelled' activities,1,
Percentage of 'Completed + Cancelled' in cases involving 'PROD582',Percentage of 'Completed + Cancelled' out of all cases,0.0,
Frequency of 'Completed + Cancelled' in relation to 'Completed + In Call',Frequency of activity 'Completed + Cancelled' for cases where activity 'Completed + In Call' occurs,1,
Percentage of 'Completed + Cancelled' activities that lead to a case closure within the same day,Percentage of 'Completed + Cancelled' out of all cases,0.0,
Number of 'Completed + Cancelled' activities in cases with international resources (non-France),Number of 'Completed + Cancelled' activities != 'France' where ma is the last value of resource country,1,
Percentage of 'Completed + Cancelled' in cases that also involve 'Accepted + Wait - Vendor',Percentage of 'Completed + Cancelled' out of all 'Accepted + Wait - Vendor',0.0,
