Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Completed + Resolved' to 'Completed + Closed',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Closed',"6 days, 5:09:22.288841",
Median time to complete 'Completed + Closed' after 'Accepted + In Progress',"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': ""activity == 'Completed + Closed'"", 'aggregation': 'median'}",,
Variance in time to reach 'Completed + Closed' from 'Accepted + In Progress' across cases,"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': ""activity == 'Completed + Closed'"", 'aggregation': 'variance'}",,
Average duration of 'Completed + Closed' in comparison to 'Completed + In Call',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Closed',"12 days, 10:53:36.649254",
Total duration of 'Completed + Closed' activities across all cases,The sum of the duration between activity Completed + Closed and the end of the case,"2425 days, 0:12:56",
Longest time taken from 'Accepted + In Progress' to 'Completed + Closed',The maximum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',"771 days, 8:26:33",
Shortest time taken from 'Accepted + In Progress' to 'Completed + Closed',The minimum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',0:01:35,
Average time from 'Accepted + Wait - User' to 'Completed + Closed',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Closed',"17 days, 20:03:53.763224",
Time difference between earliest and latest 'Completed + Closed' in the event log,"ERROR: computing metric {'begin': ""activity == 'Completed + Closed'"", 'end': ""activity == 'Completed + Closed'"", 'aggregation': 'range'}",,
Average time from 'Queued + Awaiting Assignment' to 'Completed + Closed',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Closed',"17 days, 4:13:54.808305",
Distribution of time taken from 'Accepted + In Progress' to 'Completed + Closed' across different countries,"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': ""activity == 'Completed + Closed'"", 'aggregation': 'distribution', 'group_by': 'organization country'}",,
Average time from 'Completed + In Call' to 'Completed + Closed' to understand the impact of 'Completed + In Call',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Closed',"12 days, 10:53:36.649254",
Total time spent in 'Completed + Closed' for cases involving 'PROD582',The sum of the duration between activity Completed + Closed and the end of the case,0:00:00,
Average time from 'Accepted + Assigned' to 'Completed + Closed',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Closed',"19 days, 5:43:47.930825",
Time from first 'Accepted + In Progress' to 'Completed + Closed' in the most frequent variant,"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': ""activity == 'Completed + Closed'"", 'aggregation': 'first'}",,
Difference in average time to 'Completed + Closed' between cases with and without 'Accepted + Wait - Vendor',"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': ""activity == 'Completed + Closed'"", 'aggregation': 'difference', 'filter': ""activity == 'Accepted + Wait - Vendor'""}",,
Average duration of 'Completed + Closed' for cases with 'Medium' impact vs 'High' impact,The average of the duration between activity 'Completed + Closed' and the end of case grouped by the last value of impact filtered by the function ma == 'Medium' where ma is the last value of impact,Medium:0 days 04:57:07.985413,"{""Medium"":17827985}"
Total duration of 'Completed + Closed' activities for cases ending in 'Completed + Closed' vs those ending in other activities,"ERROR: computing metric {'begin': ""activity == 'Completed + Closed'"", 'end': '', 'aggregation': 'total', 'group_by': 'concept:name'}",,
Average time from 'Accepted + Wait - Implementation' to 'Completed + Closed',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',"17 days, 22:53:15.949367",
Standard deviation of time to 'Completed + Closed' from 'Accepted + In Progress',"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': ""activity == 'Completed + Closed'"", 'aggregation': 'standard deviation'}",,
