Name;Metric;Value;Agrupation
Number of times SW-Reviewer Declined appears in the same case as SW-Reviewer Unavailable or SW-Reviewer No Response;ERROR: computing metric {'count': 'activity == SW-Reviewer Declined', 'aggregation': 'total', 'filter': 'activity == SW-Reviewer Unavailable or activity == SW-Reviewer No Response'};;
Percentage of SW-Reviewer Declined out of all reviewer-related activities (e.g., SW-Reviewer Agreed, SW-Reviewer Unavailable, SW-Reviewer No Response);"ERROR: computing metric {'count': activity == 'SW-Reviewer Declined'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-Reviewer Agreed' or activity == 'SW-Reviewer Unavailable' or activity == 'SW-Reviewer No Response'""}""";;
Percentage of SW-Reviewer Declined in cases that ultimately reach Awaiting Assignment to Batch;Percentage of 'SW-Reviewer Declined' out of all 'Awaiting Assignment to Batch';0.54;
Percentage of cases where SW-Reviewer Declined appears more than once before a successful SW-Reviewer Agreed;the average of the function base > 1 where base is the number of times `ACTIVITY` == 'SW-Reviewer Declined' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'SW-Reviewer Agreed';0.3;
Percentage of SW-Reviewer Declined that occur after SW-Reviewer Selection is due in 3 days;Percentage of 'SW-Reviewer Declined' out of all 'SW-Reviewer Selection is due in 3 days';0.54;
Frequency of SW-Reviewer Declined compared to SW-Reviewer Agreed across all variants;Percentage of 'SW-Reviewer Declined' out of all 'SW-Reviewer Agreed';0.63;
Percentage of SW-Reviewer Declined occurring in the first 7 days after SW-AE Assign Reviewers;Percentage of 'SW-Reviewer Declined' out of all 'SW-AE Assign Reviewers';0.61;
Percentage of SW-Reviewer Declined that occur in the initial reviewer selection phase (i.e., before any SW-Reviewer Agreed);Percentage of 'SW-Reviewer Declined' out of all cases where 'SW-Reviewer Agreed' does not happen;0.31;
Frequency of SW-Reviewer Declined followed by Reviewer Invitation Reminder 1 or Reviewer Invitation Reminder 2;"ERROR: computing metric {'count': activity == 'SW-Reviewer Declined'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'Reviewer Invitation Reminder 1' or activity == 'Reviewer Invitation Reminder 2'""}""";;
Percentage of SW-Reviewer Declined in variants that eventually result in SW-EIC Accept;Percentage of 'SW-Reviewer Declined' out of all 'SW-EIC Accept';0.0;
Percentage of SW-Reviewer Declined relative to SW-Reviewer Unavailable and SW-Reviewer No Response combined;"ERROR: computing metric {'count': activity == 'SW-Reviewer Declined'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-Reviewer Unavailable' or activity == 'SW-Reviewer No Response'""}""";;
Percentage of SW-Reviewer Declined out of all reviewer response activities (including SW-Reviewer Agreed, SW-Reviewer No Response, and SW-Reviewer Unavailable);"ERROR: computing metric {'count': activity == 'SW-Reviewer Declined'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-Reviewer Agreed' or activity == 'SW-Reviewer No Response' or activity == 'SW-Reviewer Unavailable'""}""";;
