Name;Metric;Value;Agrupation
Percentage of 'Accepted + Wait' out of all activity executions in the event log;Percentage of 'Accepted + Wait' out of all cases;0.15;
Frequency of 'Accepted + Wait' occurrences across all cases;Number of 'Accepted + Wait' activities;1461;
Percentage of process variants containing 'Accepted + Wait' relative to total number of variants;Percentage of 'Accepted + Wait' out of all cases;0.15;
Frequency of 'Accepted + Wait' directly followed by 'Completed + Resolved';Number of 'Accepted + Wait' activities for cases where activity 'Completed + Resolved' occurs;1410;
Percentage of 'Accepted + Wait' that occur before 'Completed + In Call';Percentage of 'Accepted + Wait' out of all 'Completed + In Call';0.04;
Frequency of 'Accepted + Wait' in variants that also include 'Completed + In Call';Number of 'Accepted + Wait' activities for cases where activity 'Completed + In Call' occurs;89;
Percentage of 'Accepted + Wait' compared to the frequency of 'Accepted + Wait - User';Percentage of 'Accepted + Wait' out of all 'Accepted + Wait - User';0.23;
Frequency of 'Accepted + Wait' in cases that eventually reach 'Completed + Closed';Number of 'Accepted + Wait' activities for cases where activity 'Completed + Closed' occurs;1394;
Percentage of 'Accepted + Wait' occurring after 'Queued + Awaiting Assignment';Percentage of 'Accepted + Wait' out of all 'Queued + Awaiting Assignment';0.21;
Percentage of variants where 'Accepted + Wait' appears without any subsequent 'Completed + In Call';Percentage of 'Accepted + Wait' out of all cases where 'Completed + In Call' does not happen;0.15;
Frequency of 'Accepted + Wait' relative to 'Accepted + In Progress';Number of 'Accepted + Wait' activities for cases where activity 'Accepted + In Progress' occurs;1458;
Percentage of 'Accepted + Wait' that are part of high-performance variants (performance > 1,000,000);Percentage of 'Accepted + Wait' out of all cases;0.15;
Frequency of 'Accepted + Wait' grouped by country;Number of 'Accepted + Wait' activities grouped by the last value of organization country;0:1;"{""0"":1,""SE"":3,""au"":2,""be"":110,""br"":101,""ca"":3,""cl"":0,""cn"":60,""de"":1,""fr"":55,""gb"":8,""in"":216,""jp"":7,""kr"":9,""my"":1,""nl"":65,""pe"":0,""pl"":362,""ru"":20,""se"":336,""th"":0,""tr"":0,""us"":101}"
Percentage of total 'Accepted + Wait' events that occur in the same case as 'Completed + In Call';Percentage of 'Accepted + Wait' out of all 'Completed + In Call';0.04;
Frequency of 'Accepted + Wait' directly preceded by 'Accepted + In Progress';Number of 'Accepted + Wait' activities for cases where activity 'Accepted + In Progress' occurs;1458;
Percentage of 'Accepted + Wait' among all waiting-type activities (including 'Accepted + Wait - User', 'Accepted + Wait - Implementation', 'Accepted + Wait - Vendor', and 'Accepted + Wait - Customer');Percentage of 'Accepted + Wait' out of all 'Accepted + Wait - User';0.23;
Frequency of cases containing both 'Accepted + Wait' and 'Completed + In Call' divided by total number of cases with 'Completed + In Call';Percentage of 'Accepted + Wait' out of all 'Completed + In Call';0.04;
Percentage of 'Accepted + Wait' in variants that terminate with 'Completed + Resolved -> Completed + Closed';Percentage of 'Accepted + Wait' out of all 'Completed + Closed';0.19;
