Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Declaration SAVED by EMPLOYEE\ compared to \Declaration SUBMITTED by EMPLOYEE\,Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration SUBMITTED by EMPLOYEE',0.0,
Percentage of \Declaration SAVED by EMPLOYEE\ that are followed by \Declaration SUBMITTED by EMPLOYEE\,Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration SUBMITTED by EMPLOYEE',0.0,
Percentage of \Declaration SAVED by EMPLOYEE\ out of all activities in the event log,Percentage of 'Declaration SAVED by EMPLOYEE' out of all cases,0.01,
Frequency of \Declaration SAVED by EMPLOYEE\ in relation to the total number of declarations handled,Percentage of 'Declaration SAVED by EMPLOYEE' out of all cases,0.01,
Percentage of \Declaration SAVED by EMPLOYEE\ followed by \Declaration APPROVED by ADMINISTRATION\,Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration APPROVED by ADMINISTRATION',0.0,
Number of \Declaration SAVED by EMPLOYEE\ with amounts above 100 euros,Number of 'Declaration SAVED by EMPLOYEE' activities > 100 where ma is the last value of case:Amount,0,
Frequency of \Declaration SAVED by EMPLOYEE\ per month,"ERROR: computing metric {'count': ""activity == 'Declaration SAVED by EMPLOYEE'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of \Declaration SAVED by EMPLOYEE\ that lead to a \Payment Handled\ activity,Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Payment Handled',0.0,
Ratio of \Declaration SAVED by EMPLOYEE\ over \Declaration FINAL_APPROVED by SUPERVISOR\,Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.0,
Number of times \Declaration SAVED by EMPLOYEE\ is performed before \Request Payment\,Number of 'Declaration SAVED by EMPLOYEE' activities for cases where activity 'Request Payment' occurs,1,
Percentage of \Declaration SAVED by EMPLOYEE\ in the variant ending with \Payment Handled\,Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Payment Handled',0.0,
Frequency of \Declaration SAVED by EMPLOYEE\ in the most common process variant,Frequency of activity 'Declaration SAVED by EMPLOYEE',135,
Percentage of \Declaration SAVED by EMPLOYEE\ that are not followed by \Declaration REJECTED by EMPLOYEE\,Percentage of 'Declaration SAVED by EMPLOYEE' out of all cases where 'Declaration REJECTED by EMPLOYEE' does not happen,0.01,
