Name;Metric;Value;Agrupation
Percentage of Declaration REJECTED by EMPLOYEE that are preceded by Declaration REJECTED by BUDGET OWNER;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Declaration REJECTED by BUDGET OWNER';1.0;
Percentage of Declaration REJECTED by EMPLOYEE that are preceded by Declaration REJECTED by PRE_APPROVER;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Declaration REJECTED by PRE_APPROVER';1.0;
Percentage of Declaration REJECTED by EMPLOYEE that are followed by Declaration SUBMITTED by EMPLOYEE;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Declaration SUBMITTED by EMPLOYEE';0.12;
Number of Declaration REJECTED by EMPLOYEE grouped by org:resource;Number of 'Declaration REJECTED by EMPLOYEE' activities grouped by the last value of org:resource;STAFF MEMBER:319;"{""STAFF MEMBER"":319,""SYSTEM"":1046}"
Percentage of Declaration REJECTED by EMPLOYEE by worker;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all cases;STAFF MEMBER:0.63;"{""STAFF MEMBER"":0.6258205689,""SYSTEM"":0.0922035248}"
Average number of Declaration REJECTED by EMPLOYEE per case;the average of the number of times `ACTIVITY` == 'Declaration REJECTED by EMPLOYEE';0.13;
Percentage of cases containing Declaration REJECTED by EMPLOYEE that also contain Declaration REJECTED by PRE_APPROVER;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Declaration REJECTED by PRE_APPROVER';1.0;
Frequency of variants where Declaration REJECTED by EMPLOYEE occurs after Declaration REJECTED by PRE_APPROVER;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Declaration REJECTED by PRE_APPROVER';1.0;
Percentage of Declaration REJECTED by EMPLOYEE with case:Amount above 100 euros;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all cases;0.16;
Ratio of Declaration REJECTED by EMPLOYEE over Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.09;
Percentage of Declaration REJECTED by EMPLOYEE performed by STAFF MEMBER;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all cases;;
Percentage of Declaration REJECTED by EMPLOYEE from all rejection activities (REJECTED by ADMINISTRATION, SUPERVISOR, BUDGET OWNER, PRE_APPROVER, MISSING);Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Declaration REJECTED by ADMINISTRATION';0.99;
Total Declaration REJECTED by EMPLOYEE performed by SYSTEM;Number of 'Declaration REJECTED by EMPLOYEE' activities == 'SYSTEM' where ma is the last value of org:resource;1046;
Average performance time of variants containing Declaration REJECTED by EMPLOYEE;the average of the number of times `ACTIVITY` == 'Declaration REJECTED by EMPLOYEE';0.13;
Frequency of Declaration REJECTED by EMPLOYEE occurring multiple times in the same case;the average of the function base > 1 where base is the number of times `ACTIVITY` == 'Declaration REJECTED by EMPLOYEE';0.01;
Percentage of Declaration REJECTED by EMPLOYEE that occur in domestic declaration process flows;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all cases;0.12;
Percentage of Declaration REJECTED by EMPLOYEE that eventually lead to Payment Handled;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Payment Handled';0.09;
Number of Declaration REJECTED by EMPLOYEE that are not eventually followed by a successful Declaration SUBMITTED by EMPLOYEE;Number of 'Declaration REJECTED by EMPLOYEE' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' does not occur;1365;
Ratio of Declaration REJECTED by EMPLOYEE frequency to Declaration REJECTED by PRE_APPROVER frequency;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Declaration REJECTED by PRE_APPROVER';1.0;
Percentage of Declaration REJECTED by EMPLOYEE that occur within two months of a trip;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all cases;0.12;
Percentage of cases with Declaration REJECTED by EMPLOYEE where budget owner and supervisor are the same person;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all cases;0.12;
Frequency of Declaration REJECTED by EMPLOYEE after director approval step;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all cases;0.12;
Percentage of Declaration REJECTED by EMPLOYEE that are followed by a request for payment within two months;Percentage of 'Declaration REJECTED by EMPLOYEE' out of all 'Request Payment';0.09;
Number of Declaration REJECTED by EMPLOYEE associated with pre-paid travel costs;Number of 'Declaration REJECTED by EMPLOYEE' activities;1365;
Number of Declaration REJECTED by EMPLOYEE made per year;"ERROR: computing metric {'count': activity == 'Declaration REJECTED by EMPLOYEE'"", 'aggregation': 'total', 'group_by': 'year'}""";;
Average number of Declaration REJECTED by EMPLOYEE in a month;"ERROR: computing metric {'count': activity == 'Declaration REJECTED by EMPLOYEE'"", 'aggregation': 'average', 'group_by': 'month'}""";;
