Name;Metric;Value;Agrupation
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';4.65 days;
Average time between Declaration APPROVED by ADMINISTRATION and Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by SUPERVISOR';2.97 days;
Average time between Declaration APPROVED by PRE_APPROVER and Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by SUPERVISOR';3.00 days;
Average time between Declaration APPROVED by BUDGET OWNER and Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration REJECTED by SUPERVISOR';4.19 days;
Average time for Declaration REJECTED by SUPERVISOR grouped by case:BudgetNumber;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and the end of case grouped by the last value of case:BudgetNumber;budget 86566:14.90 days;"{""budget 86566"":1287191042}"
Total time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by SUPERVISOR in variants that include rejections by SUPERVISOR;The sum of the duration between activity Declaration SUBMITTED by EMPLOYEE and activity Declaration REJECTED by SUPERVISOR for cases where activity Declaration REJECTED by SUPERVISOR occurs;1305.87 days;
Minimum time between Declaration FINAL_APPROVED by SUPERVISOR and Declaration REJECTED by SUPERVISOR in looping variants;The minimum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Declaration REJECTED by SUPERVISOR';7.98 days;
Average time it takes Declaration REJECTED by SUPERVISOR after the execution of Declaration FOR_APPROVAL by SUPERVISOR;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by SUPERVISOR';;
Average waiting time to the Declaration REJECTED by SUPERVISOR after a prior approval step (e.g., Declaration APPROVED by ADMINISTRATION);The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by SUPERVISOR';2.97 days;
Total time for Declaration REJECTED by SUPERVISOR compared to the total time for Declaration FINAL_APPROVED by SUPERVISOR in similar process paths;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';1305.87 days;
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by SUPERVISOR in variants that end without payment;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';2.00 seconds;
Average time between Declaration REJECTED by SUPERVISOR and the subsequent Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration REJECTED by EMPLOYEE';5.28 days;
Average time from Declaration REJECTED by SUPERVISOR to the next Declaration SUBMITTED by EMPLOYEE in retry loops;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration SUBMITTED by EMPLOYEE';8.70 days;
Total resolution time of Declaration REJECTED by SUPERVISOR in variants involving multiple rejections;The sum of the duration between activity Declaration SUBMITTED by EMPLOYEE and activity Declaration REJECTED by SUPERVISOR for cases where activity Declaration REJECTED by SUPERVISOR occurs;1305.87 days;
Time from Declaration APPROVED by ADMINISTRATION to Declaration REJECTED by SUPERVISOR versus time from Declaration APPROVED by ADMINISTRATION to Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by SUPERVISOR';2.97 days;
Elapsed time between Declaration APPROVED by BUDGET OWNER and Declaration REJECTED by SUPERVISOR compared to elapsed time between Declaration APPROVED by BUDGET OWNER and Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration REJECTED by SUPERVISOR';4.19 days;
Average time to Declaration REJECTED by SUPERVISOR grouped by org:resource performing the rejection;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and the end of case grouped by the last value of org:resource;STAFF MEMBER:10.20 days;"{""STAFF MEMBER"":880928064,""SYSTEM"":1440535401}"
Time of Declaration REJECTED by SUPERVISOR in variants that later result in successful payment versus those that do not;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';5.14 days;
Cycle Time of Declaration REJECTED by SUPERVISOR measured from the start of the case until the rejection event;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';4.65 days;
Average time between Declaration FOR_APPROVAL by SUPERVISOR and Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by SUPERVISOR';;
