Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
1) Average time from Accepted + Wait - Vendor to Accepted + In Progress,The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Accepted + In Progress',14 days 10:43:55.326087,
2) Time it takes Accepted + Wait - Vendor compared to Completed + Resolved,The sum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Resolved',3270 days 19:07:00,
3) Average time until Accepted + Wait - Vendor is performed after Accepted + In Progress,The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Vendor',5 days 10:07:25.375000,
4) Total time from Queued + Awaiting Assignment to Accepted + Wait - Vendor,The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait - Vendor',1257 days 14:39:30,
5) Time until Accepted + Wait - Vendor is done in the variant Accepted + In Progress -> Accepted + Wait - User -> Completed + Resolved -> Completed + Closed,The sum of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Vendor',970 days 03:36:19,
6) Total time it takes Accepted + Wait - Vendor to be done compared to the time it takes Accepted + In Progress to be done,The sum of the duration between activity 'Accepted + Wait - Vendor' and the end of case where activity 'Accepted + In Progress occurs,4423 days 20:32:38,
7) Average time it takes Accepted + Wait - Vendor compared to the time it takes Accepted + Wait - Implementation,The average of the duration between activity 'Accepted + Wait - Vendor' and the end of case where activity 'Accepted + Wait - Implementation occurs,26 days 05:02:00.739130,
8) Time until Accepted + Wait - Vendor is done after  Queued + Awaiting Assignment,The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait - Vendor',1257 days 14:39:30,
9) Total time between Accepted + Wait - Vendor and Accepted + Wait,The sum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Accepted + Wait',346 days 11:08:59,
10) Time to Accepted + Wait - Vendor since the Completed + In Call,The sum of the duration between activity 'Completed + In Call' and activity 'Accepted + Wait - Vendor',12 days 20:18:31,
11) Elapsed time between Accepted + Wait - Vendor and Completed + In Call,The sum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + In Call',,
12) Average time between Accepted + Wait - Vendor and Completed + In Call in the variant Accepted + In Progress -> Accepted + In Progress -> Completed + In Call -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed,The average of the duration between activity Accepted + In Progress and activity Completed + In Call for cases where activity Completed + In Call occurs,0 days 08:38:49.233515,
13) Average time between Accepted + Wait - Vendor and Accepted + Wait in the variant Accepted + In Progress -> Accepted + In Progress -> Accepted + Wait - User -> Completed + Resolved -> Completed + Closed,The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait',10 days 04:12:31.228723,
14) Total time between Accepted + Wait - Vendor and Accepted + Wait - User in the variant Accepted + In Progress -> Accepted + In Progress -> Queued + Awaiting Assignment -> Accepted + In Progress -> Accepted + Wait - User -> Completed + Resolved -> Completed + Closed,The sum of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - User',13371 days 17:30:31,
15) Total time until Accepted + Wait - Vendor is done after Accepted + In Progress,The sum of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Vendor',1344 days 14:40:53,
16) Time from Accepted + In Progress to Accepted + Wait - Vendor,The sum of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Vendor',1344 days 14:40:53,
17) Total time of Accepted + Wait - Vendor in the incident and problem management system,The sum of the duration between activity Accepted + Wait - Vendor and the end of the case,4435 days 22:52:36,
18) Average time it takes Accepted + Wait - Vendor to be done in the variant Accepted + In Progress -> Accepted + In Progress -> Completed + In Call,The average of the duration between activity Accepted + In Progress and activity Completed + In Call for cases where activity Completed + In Call occurs,0 days 08:38:49.233515,
19) Average time until Accepted + Wait - Vendor is done in the variant Accepted + In Progress -> Accepted + In Progress -> Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed,The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Vendor',6 days 15:07:29.227273,
20) Total time from Accepted + Wait - Vendor to Completed + Resolved,The sum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Resolved',3270 days 19:07:00,
