Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Original Manuscript Submission Confirmation' to 'Manuscript Export Succeeded',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Manuscript Export Succeeded',74 days 15:52:58.430233,
Total time from 'SW-Awaiting Checklist Completion' to 'Manuscript Export Succeeded' across all cases,The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Manuscript Export Succeeded',6417 days 00:21:03,
Minimum time from 'SW-Awaiting Checklist Completion' to 'Manuscript Export Succeeded' in the fastest case,The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Manuscript Export Succeeded',0 days 00:00:08,
Average time between 'Manuscript Export Succeeded' and 'Plagiarism Originality Report Completed',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',1 days 12:03:25.602410,
Total duration of 'Manuscript Export Succeeded' activity across all cases,The sum of the duration between activity Manuscript Export Succeeded and the end of the case,9239 days 10:10:57,
Average duration before 'Manuscript Export Succeeded' following 'Co-Author Account Created During Manuscript Submission',The average of the duration between activity 'Co-Author Account Created During Manuscript Submission' and activity 'Manuscript Export Succeeded',102 days 11:18:29.640000,
Minimum time between 'Manuscript Export Succeeded' and any subsequent activity,The minimum of the duration between activity Manuscript Export Succeeded and the end of the case,0 days 03:14:28,
Average time to complete 'Manuscript Export Succeeded' after 'Original Manuscript Submission Confirmation',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Manuscript Export Succeeded',74 days 15:52:58.430233,
Total time between 'Manuscript Export Succeeded' and 'SW-Checklist Completed' across all variants,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Checklist Completed',362 days 17:50:04,
Average time from 'Manuscript Export Succeeded' to 'SW-Awaiting AE Assignment' in cases where this path is followed,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting AE Assignment',3 days 04:16:49.754386,
Duration of 'Manuscript Export Succeeded' activity in the variant with the longest performance time,the maximum of the duration between the first time instant when `ACTIVITY` == 'Manuscript Export Succeeded' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x00000281C2CF1810> - AppliesTo.PROCESS,547 days 15:23:09,
Average time from 'Manuscript Export Succeeded' to 'SW-EIC Reject & Resubmit' for manuscripts requiring resubmission,"ERROR: computing metric {'begin': ""activity == 'Manuscript Export Succeeded'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'average'}",,
Total time from 'Manuscript Export Succeeded' to 'First Look Manuscript Submission Confirmation' in the review process,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'First Look Manuscript Submission Confirmation',4459 days 18:44:13,
Minimum time from 'Manuscript Export Succeeded' to 'Awaiting Assignment to Batch' for manuscripts proceeding to publication,The minimum of the duration between activity 'Manuscript Export Succeeded' and activity 'Awaiting Assignment to Batch',19 days 14:04:02,
Average duration of 'Manuscript Export Succeeded' in cases leading to 'SW-EIC Major Revision' decision,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-EIC Major Revision',102 days 19:12:16.153846,
