Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Awaiting Checklist Completion' to 'SW-Checklist Completed',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed',4 days 09:34:26.341463,
Average time from 'SW-Checklist Completed' to 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-AE Assign Reviewers',22 days 19:57:28.659091,
Total time for 'SW-Checklist Completed' across all cases,The sum of the duration between activity SW-Checklist Completed and the end of the case,8900 days 14:26:09,
Minimum time for 'SW-Checklist Completed' across all cases,The minimum of the duration between activity SW-Checklist Completed and the end of the case,0 days 00:00:00,
Average time between 'SW-Checklist Completed' and 'SW-Reviewer Agreed',The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-Reviewer Agreed',23 days 14:17:23.909091,
Total time between 'SW-Checklist Completed' and 'SW-Awaiting EIC Decision',The sum of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting EIC Decision',3643 days 19:04:48,
Minimum time between 'SW-Checklist Completed' and 'SW-Awaiting AE Assignment',The minimum of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting AE Assignment',0 days 00:00:03,
Average time from 'SW-Checklist Completed' to 'SW-EIC Reject & Resubmit' for cases requiring major revision,"ERROR: computing metric {'begin': ""activity == 'SW-Checklist Completed'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'average', 'filter': ""case:revision == 'major'""}",,
Total resolution time of 'SW-Checklist Completed' for cases ending with 'SW-EIC Accept',The sum of the duration between activity 'SW-Checklist Completed' and activity 'SW-EIC Accept',16 days 11:50:52,
Average time from 'SW-Checklist Completed' to 'Revised Manuscript Submission Confirmation' for cases with revisions,The average of the duration between activity 'SW-Checklist Completed' and activity 'Revised Manuscript Submission Confirmation',166 days 17:38:10.238095,
Minimum time from 'SW-Checklist Completed' to 'SW-EIC Major Revision' for cases undergoing major revisions,The minimum of the duration between activity 'SW-Checklist Completed' and activity 'SW-EIC Major Revision',52 days 13:59:35,
Average time from 'SW-Checklist Completed' to 'SW-EIC Reject' for rejected manuscripts,The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-EIC Reject',25 days 10:26:00.606061,
Total time from 'SW-Checklist Completed' to 'First Look Manuscript Submission Confirmation' for fast-tracked manuscripts,The sum of the duration between activity 'SW-Checklist Completed' and activity 'First Look Manuscript Submission Confirmation',4507 days 01:05:31,
Minimum time from 'SW-Checklist Completed' to 'Manuscript Export Succeeded' for successfully exported manuscripts,The minimum of the duration between activity 'SW-Checklist Completed' and activity 'Manuscript Export Succeeded',19 days 19:51:35,
