Name;Metric;Value;Agrupation
Average duration of 'Accepted + Wait - Implementation' before transitioning to 'Completed + Resolved';The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved';14.00 days;
Total duration of 'Accepted + Wait - Implementation' across all cases;The sum of the duration between activity Accepted + Wait - Implementation and the end of the case;7158.68 days;
Minimum duration of 'Accepted + Wait - Implementation' before any subsequent activity;The minimum of the duration between activity Accepted + Wait - Implementation and the end of the case;0.00 seconds;
Maximum duration of 'Accepted + Wait - Implementation' before transitioning to 'Accepted + In Progress';The maximum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + In Progress';463.18 days;
Average duration from 'Accepted + Wait - Implementation' to 'Completed + In Call' across cases where both activities occur;The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call';2.16 days;
Difference in average duration between 'Accepted + Wait - Implementation' and 'Accepted + Wait - User';The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - User';8.49 days;
Total duration of 'Accepted + Wait - Implementation' in cases leading to 'Completed + Closed' without 'Completed + Resolved';The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed';7091.69 days;
Average duration of 'Accepted + Wait - Implementation' in cases with more than one occurrence of this activity;The average of the duration between activity 'Accepted + Wait - Implementation' and the end of case where activity 'Accepted + Wait - Implementation occurs;17.33 days;
Duration of 'Accepted + Wait - Implementation' in the fastest case to resolution;The minimum of the duration between activity Accepted + Wait - Implementation and the end of the case;0.00 seconds;
Duration of 'Accepted + Wait - Implementation' in the slowest case to resolution;the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - Implementation' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x000001A843391A90> - AppliesTo.PROCESS;470.49 days;
Average duration between 'Accepted + Wait - Implementation' and the next activity in the process;The average of the duration between activity Accepted + Wait - Implementation and the end of the case;17.33 days;
Total elapsed time involving 'Accepted + Wait - Implementation' across all variants where it appears;The sum of the duration between activity Accepted + Wait - Implementation and the end of the case;7158.68 days;
Average delay introduced by 'Accepted + Wait - Implementation' in reaching 'Completed + Closed' compared to cases without this activity;The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed';17.95 days;
Maximum time saved in cases with 'Accepted + Wait - Implementation' followed directly by 'Completed + Resolved' compared to other paths to resolution;The maximum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved';463.18 days;
Average duration from 'Accepted + Wait - Implementation' to 'Accepted + Assigned' as a measure of implementation waiting time impact on resource allocation;The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Assigned';10.57 days;
