Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Reviewer Invitation Reminder 2' to 'SW-AE Assign Reviewers',The average of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-AE Assign Reviewers',"24 days, 0:29:52.588235",
Total time from 'Reviewer Invitation Reminder 2' to 'SW-Reviewer Agreed',The sum of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-Reviewer Agreed',"395 days, 10:49:21",
Minimum time from 'Reviewer Invitation Reminder 2' to 'Assign a Different Editor',The minimum of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'Assign a Different Editor',"14 days, 16:20:01",
Average time between 'Reviewer Invitation Reminder 2' and 'Reviewer Invitation Reminder 1',The average of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'Reviewer Invitation Reminder 1',"78 days, 12:22:28.333333",
Total resolution time of 'Reviewer Invitation Reminder 2',The sum of the duration between activity Reviewer Invitation Reminder 2 and the end of the case,"6078 days, 1:36:18",
Minimum resolution time of 'Reviewer Invitation Reminder 2',The minimum of the duration between activity Reviewer Invitation Reminder 2 and the end of the case,"30 days, 23:11:04",
Average time it takes 'Reviewer Invitation Reminder 2' after 'SW-Reviewer Selection is now due',The average of the duration between activity 'SW-Reviewer Selection is now due' and activity 'Reviewer Invitation Reminder 2',"94 days, 21:07:19.250000",
Total time it takes 'Reviewer Invitation Reminder 2' to be done after 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'Reviewer Invitation Reminder 2',"1721 days, 19:12:14",
Minimum time it takes 'Reviewer Invitation Reminder 2' after 'SW-Reviewer Selection is 3 days late',The minimum of the duration between activity 'SW-Reviewer Selection is 3 days late' and activity 'Reviewer Invitation Reminder 2',"4 days, 21:35:37",
Average waiting time to the 'Reviewer Invitation Reminder 2' after 'SW-Reviewer Declined',The average of the duration between activity 'SW-Reviewer Declined' and activity 'Reviewer Invitation Reminder 2',"65 days, 2:35:22.380952",
Total waiting time to the 'Reviewer Invitation Reminder 2' after 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'Reviewer Invitation Reminder 2',"1721 days, 19:12:14",
Average time for 'Reviewer Invitation Reminder 2' grouped by 'case:concept:name',"ERROR: computing metric {'begin': ""activity == 'Reviewer Invitation Reminder 2'"", 'end': '', 'aggregation': 'average', 'group_by': 'case:concept:name'}",,
Average time from 'Reviewer Invitation Reminder 2' to the next activity in the process,The average of the duration between activity Reviewer Invitation Reminder 2 and the end of the case,"148 days, 5:53:34.097561",
Total time from 'Reviewer Invitation Reminder 2' to 'SW-Awaiting EIC Decision',The sum of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-Awaiting EIC Decision',"2335 days, 23:07:15",
Minimum time from 'Reviewer Invitation Reminder 2' to 'SW-EIC Major Revision',The minimum of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-EIC Major Revision',"45 days, 0:35:05",
Average time between 'Reviewer Invitation Reminder 2' and 'SW-Reviewer No Response',The average of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-Reviewer No Response',"44 days, 8:04:27",
Total time between 'Reviewer Invitation Reminder 2' and 'SW-EIC Accept',The sum of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-EIC Accept',,
Minimum time between 'Reviewer Invitation Reminder 2' and 'SW-EIC Reject & Resubmit',"ERROR: computing metric {'begin': ""activity == 'Reviewer Invitation Reminder 2'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'minimum'}",,
