Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Checklist Completion is due in three days' to 'SW-Checklist Completed',The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Checklist Completed',"5 days, 11:03:15.066667",
Average time from 'Original Manuscript Submission Confirmation' to 'SW-Checklist Completion is due in three days',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Checklist Completion is due in three days',"4 days, 12:52:36.566667",
Total time for 'SW-Checklist Completion is due in three days' to be completed across all cases,The sum of the duration between activity SW-Checklist Completion is due in three days and the end of the case,"4330 days, 21:56:29",
Average waiting time to 'SW-Checklist Completed' after 'SW-Checklist Completion is due in three days',The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Checklist Completed',"5 days, 11:03:15.066667",
Minimum time from 'SW-Checklist Completion is due in three days' to 'SW-Awaiting AE Assignment',The minimum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Awaiting AE Assignment',1:55:02,
Average time it takes from 'SW-Checklist Completion is due in three days' to 'SW-Reviewer Agreed' across variants where both activities occur,The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Reviewer Agreed',"30 days, 3:36:29.117647",
Total resolution time of 'SW-Checklist Completion is due in three days' in the context of the review process of scientific papers,The sum of the duration between activity SW-Checklist Completion is due in three days and the end of the case,"4330 days, 21:56:29",
Average time between 'SW-Checklist Completion is due in three days' and 'SW-Awaiting EIC Decision' in cases leading to 'SW-EIC Reject',The average of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Awaiting EIC Decision',"71 days, 11:22:16",
Minimum time for 'SW-Checklist Completion is due in three days' to lead to 'SW-AE Assign Reviewers',The minimum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-AE Assign Reviewers',"5 days, 6:33:26",
Total time it takes from 'SW-Checklist Completion is due in three days' to 'SW-EIC Major Revision' across all relevant variants,The sum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-EIC Major Revision',"675 days, 2:07:42",
Average time from 'SW-Checklist Completion is due in three days' to the next activity in the process,The average of the duration between activity SW-Checklist Completion is due in three days and the end of the case,"139 days, 16:57:57.064516",
Total time from 'SW-Checklist Completion is due in three days' to 'Manuscript Export Succeeded' in cases where this sequence occurs,The sum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'Manuscript Export Succeeded',"3329 days, 6:26:05",
Minimum resolution time of 'SW-Checklist Completion is due in three days' in the review process leading to 'SW-EIC Accept',The minimum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-EIC Accept',"23 days, 23:29:19",
Total time for 'SW-Checklist Completion is due in three days' across all cases before reaching 'SW-Awaiting AE Recommendation',The sum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Awaiting AE Recommendation',"558 days, 1:47:32",
