Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Queued + Awaiting Assignment' to 'Completed + In Call',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call',,
Total time spent in 'Queued + Awaiting Assignment' for cases that eventually reach 'Completed + In Call',The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call',,
Average resolution time of 'Queued + Awaiting Assignment' in cases with 'High' impact,The average of the duration between activity Queued + Awaiting Assignment and the end of the case,17 days 04:09:15.559809,
Minimum time from 'Queued + Awaiting Assignment' to 'Completed + Resolved',The minimum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Resolved',0 days 00:00:12,
Average time it takes 'Queued + Awaiting Assignment' to be followed by 'Accepted + Wait - User',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait - User',6 days 03:28:23.351950,
Total time spent in 'Queued + Awaiting Assignment' across all cases,The sum of the duration between activity Queued + Awaiting Assignment and the end of the case,76982 days 15:22:15,
Minimum time it takes from 'Queued + Awaiting Assignment' to 'Completed + Closed',The minimum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Closed',0 days 00:00:16,
Average time between 'Queued + Awaiting Assignment' and the next activity for cases ending with 'Completed + In Call',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call',,
Total resolution time of 'Queued + Awaiting Assignment' in cases involving 'PROD582',The sum of the duration between activity Queued + Awaiting Assignment and the end of the case,1084 days 11:44:03,
Average time from 'Queued + Awaiting Assignment' to 'Accepted + Assigned' in cases with 'Medium' impact,The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Assigned',7 days 10:56:21.648212,
Total time from 'Queued + Awaiting Assignment' to 'Completed + Resolved' across cases from 'France',The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Resolved',,
Minimum time from 'Queued + Awaiting Assignment' to any subsequent activity in cases with 'Low' impact,The minimum of the duration between activity Queued + Awaiting Assignment and the end of the case,0 days 00:00:16,
"Average time from 'Queued + Awaiting Assignment' to 'Accepted + Wait - Vendor' for cases exceeding the average duration,""ERROR: computing metric {'begin': """"activity == 'Queued + Awaiting Assignment'"""", 'end': """"activity == 'Accepted + Wait - Vendor'"""", 'aggregation': 'average', 'metric_condition': '> average_duration'}"",,"
