Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',13 days 08:15:45.025641,
Total time from 'Reviewer Invitation Reminder 1' to 'SW-AE Assign Reviewers',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',492 days 13:45:28,
Minimum time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Declined',The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined',0 days 00:03:51,
Average time between 'Reviewer Invitation Reminder 1' and 'Reviewer Invitation Reminder 2',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'Reviewer Invitation Reminder 2',35 days 09:51:39.390244,
Total time for 'Reviewer Invitation Reminder 1' until 'SW-Awaiting EIC Decision',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Awaiting EIC Decision',2831 days 21:28:05,
Minimum resolution time of 'Reviewer Invitation Reminder 1',The minimum of the duration between activity Reviewer Invitation Reminder 1 and the end of the case,34 days 23:08:26,
Average time it takes 'Reviewer Invitation Reminder 1' after 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'Reviewer Invitation Reminder 1',65 days 07:55:43.285714,
Total time it takes 'Reviewer Invitation Reminder 1' to be done before 'SW-Reviewer Agreed',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',520 days 10:14:16,
Average waiting time to the 'Reviewer Invitation Reminder 2' after 'Reviewer Invitation Reminder 1',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'Reviewer Invitation Reminder 2',35 days 09:51:39.390244,
Time from 'Reviewer Invitation Reminder 1' to 'SW-AE Assign Reviewers' in the variant with the longest performance,The maximum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',67 days 21:12:46,
Time from 'Reviewer Invitation Reminder 1' to 'SW-AE Assign Reviewers' in the variant with the shortest performance,The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',0 days 00:51:12,
"'Reviewer Invitation Reminder 1' Cycle Time in the context of manuscript revision process,""ERROR: computing metric {'begin': """"activity == 'Reviewer Invitation Reminder 1'"""", 'end': '', 'aggregation': 'total', 'filter': '', 'group_by': 'case:concept:name'}"",,"
"Average time for 'Reviewer Invitation Reminder 1' grouped by 'case:concept:name',""ERROR: computing metric {'begin': """"activity == 'Reviewer Invitation Reminder 1'"""", 'end': '', 'aggregation': 'average', 'filter': '', 'group_by': 'case:concept:name'}"",,"
