Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of \SW-Awaiting AE Assignment\ out of all \SW-Checklist Completed\,Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-Checklist Completed',0.7,
Number of \SW-Awaiting AE Assignment\ occurrences in the event log,Number of 'SW-Awaiting AE Assignment' activities,58.0,
Frequency of \SW-Awaiting AE Assignment\ followed by \SW-AE Assign Reviewers\,Frequency of activity 'SW-Awaiting AE Assignment' for cases where activity 'SW-AE Assign Reviewers' occurs,23.0,
Percentage of \SW-Awaiting AE Assignment\ that lead to \SW-EIC Reject\ within the variants,Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-EIC Reject',0.79,
Frequency of \SW-Awaiting AE Assignment\ preceded by \SW-Checklist Completed\ in the event log,Frequency of activity 'SW-Awaiting AE Assignment' for cases where activity 'SW-Checklist Completed' occurs,57.0,
Percentage of \SW-Awaiting AE Assignment\ in relation to \SW-Awaiting EIC Decision\,Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-Awaiting EIC Decision',0.59,
Number of times \SW-Awaiting AE Assignment\ occurs before \SW-Reviewer Selection is due in 1 week\,Number of 'SW-Awaiting AE Assignment' activities for cases where activity 'SW-Reviewer Selection is due in 1 week' occurs,24.0,
Percentage of \SW-Awaiting AE Assignment\ followed by any activity related to reviewer agreement or decline,Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-Reviewer Agreed',0.52,
Frequency of \SW-Awaiting AE Assignment\ in the most common process variant,Frequency of activity 'SW-Awaiting AE Assignment',57.0,
Percentage of cases where \SW-Awaiting AE Assignment\ is the last activity before a decision is made (either \SW-EIC Accept\ or \SW-EIC Reject\),Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-EIC Accept',1.0,
Number of \SW-Awaiting AE Assignment\ occurrences grouped by month,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting AE Assignment'"", 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of \SW-Awaiting AE Assignment\ that are followed by \SW-EIC Major Revision\ in the event log,Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-EIC Major Revision',0.27,
Frequency of \SW-Awaiting AE Assignment\ in relation to all activities performed by the SYSTEM performer,Frequency of activity 'SW-Awaiting AE Assignment',54.0,
Percentage of \SW-Awaiting AE Assignment\ that lead to a manuscript being accepted (\SW-EIC Accept\) after revisions,Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-EIC Accept',1.0,
Number of \SW-Awaiting AE Assignment\ that occur after \Plagiarism Originality Report Completed\,Number of 'SW-Awaiting AE Assignment' activities for cases where activity 'Plagiarism Originality Report Completed' occurs,57.0,
